time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
320.600000,-57.019524,-57.138895,-57.032469
320.625000,-57.019316,-57.138696,-57.032263
320.650000,-57.019108,-57.138496,-57.032056
320.675000,-57.018900,-57.138296,-57.031850
320.700000,-57.018692,-57.138097,-57.031644
320.725000,-57.018485,-57.137897,-57.031438
320.750000,-57.018277,-57.137698,-57.031232
320.775000,-57.018070,-57.137498,-57.031026
320.800000,-57.017862,-57.137299,-57.030820
320.825000,-57.017655,-57.137100,-57.030614
320.850000,-57.017447,-57.136901,-57.030408
320.875000,-57.017240,-57.136701,-57.030202
320.900000,-57.017033,-57.136502,-57.029997
320.925000,-57.016826,-57.136303,-57.029791
320.950000,-57.016619,-57.136104,-57.029586
320.975000,-57.016412,-57.135905,-57.029380
321.000000,-57.016205,-57.135707,-57.029175
321.025000,-57.015998,-57.135508,-57.028969
321.050000,-57.015791,-57.135309,-57.028764
321.075000,-57.015584,-57.135110,-57.028559
321.100000,-57.015377,-57.134912,-57.028354
321.125000,-57.015171,-57.134713,-57.028148
321.150000,-57.014964,-57.134515,-57.027943
321.175000,-57.014757,-57.134316,-57.027738
321.200000,-57.014551,-57.134118,-57.027534
321.225000,-57.014344,-57.133920,-57.027329
321.250000,-57.014138,-57.133721,-57.027124
321.275000,-57.013932,-57.133523,-57.026919
321.300000,-57.013726,-57.133325,-57.026714
321.325000,-57.013519,-57.133127,-57.026510
321.350000,-57.013313,-57.132929,-57.026305
321.375000,-57.013107,-57.132731,-57.026101
321.400000,-57.012901,-57.132533,-57.025896
321.425000,-57.012695,-57.132335,-57.025692
321.450000,-57.012489,-57.132137,-57.025488
321.475000,-57.012284,-57.131939,-57.025283
321.500000,-57.012078,-57.131742,-57.025079
321.525000,-57.011872,-57.131544,-57.024875
321.550000,-57.011666,-57.131347,-57.024671
321.575000,-57.011461,-57.131149,-57.024467
321.600000,-57.011255,-57.130952,-57.024263
321.625000,-57.011050,-57.130754,-57.024059
321.650000,-57.010844,-57.130557,-57.023855
321.675000,-57.010639,-57.130360,-57.023651
321.700000,-57.010434,-57.130162,-57.023448
321.725000,-57.010229,-57.129965,-57.023244
321.750000,-57.010023,-57.129768,-57.023041
321.775000,-57.009818,-57.129571,-57.022837
321.800000,-57.009613,-57.129374,-57.022634
321.825000,-57.009408,-57.129177,-57.022430
321.850000,-57.009203,-57.128980,-57.022227
321.875000,-57.008998,-57.128784,-57.022023
321.900000,-57.008794,-57.128587,-57.021820
321.925000,-57.008589,-57.128390,-57.021617
321.950000,-57.008384,-57.128193,-57.021414
321.975000,-57.008180,-57.127997,-57.021211
322.000000,-57.007975,-57.127800,-57.021008
322.025000,-57.007771,-57.127604,-57.020805
322.050000,-57.007566,-57.127408,-57.020602
322.075000,-57.007362,-57.127211,-57.020399
322.100000,-57.007157,-57.127015,-57.020197
322.125000,-57.006953,-57.126819,-57.019994
322.150000,-57.006749,-57.126622,-57.019791
322.175000,-57.006545,-57.126426,-57.019589
322.200000,-57.006341,-57.126230,-57.019386
322.225000,-57.006137,-57.126034,-57.019184
322.250000,-57.005933,-57.125838,-57.018982
322.275000,-57.005729,-57.125643,-57.018779
322.300000,-57.005525,-57.125447,-57.018577
322.325000,-57.005321,-57.125251,-57.018375
322.350000,-57.005117,-57.125055,-57.018173
322.375000,-57.004914,-57.124860,-57.017971
322.400000,-57.004710,-57.124664,-57.017769
322.425000,-57.004507,-57.124468,-57.017567
322.450000,-57.004303,-57.124273,-57.017365
322.475000,-57.004100,-57.124078,-57.017163
322.500000,-57.003896,-57.123882,-57.016961
322.525000,-57.003693,-57.123687,-57.016760
322.550000,-57.003490,-57.123492,-57.016558
322.575000,-57.003287,-57.123296,-57.016356
322.600000,-57.003083,-57.123101,-57.016155
322.625000,-57.002880,-57.122906,-57.015953
322.650000,-57.002677,-57.122711,-57.015752
322.675000,-57.002474,-57.122516,-57.015551
322.700000,-57.002271,-57.122321,-57.015349
322.725000,-57.002069,-57.122127,-57.015148
322.750000,-57.001866,-57.121932,-57.014947
322.775000,-57.001663,-57.121737,-57.014746
322.800000,-57.001461,-57.121542,-57.014545
322.825000,-57.001258,-57.121348,-57.014344
322.850000,-57.001055,-57.121153,-57.014143
322.875000,-57.000853,-57.120959,-57.013942
322.900000,-57.000650,-57.120764,-57.013741
322.925000,-57.000448,-57.120570,-57.013540
322.950000,-57.000246,-57.120376,-57.013340
322.975000,-57.000044,-57.120181,-57.013139
323.000000,-56.999841,-57.119987,-57.012939
323.025000,-56.999639,-57.119793,-57.012738
323.050000,-56.999437,-57.119599,-57.012538
323.075000,-56.999235,-57.119405,-57.012337
323.100000,-56.999033,-57.119211,-57.012137
323.125000,-56.998831,-57.119017,-57.011936
323.150000,-56.998629,-57.118823,-57.011736
