adaptation_ratio_last_over_first_isi,ahp_mV,amplitude_nA,ap_amplitude_mV,ap_half_width_ms,ap_peak_mV,ap_threshold_mV,depolarization_block_flag,firing_rate_Hz,first_spike_latency_ms,input_capacitance_pF,isi_cv,last_spike_time_ms,late_step_mean_voltage_mV,mean_isi_ms,rin_MOhm,rmp_mV,spike_count,spontaneous_spike_count,steady_state_mV,tau_ms
,,-0.005,,,,,False,0.0,,276.0448483100484,,,-65.36452409829131,,72.90482007957166,-65.0,0,0,-65.36452410039786,20.124999999936733
,,-0.01,,,,,False,0.0,,276.0448483100161,,,-65.72904819658267,,72.90482007958019,-65.0,0,0,-65.7290482007958,20.124999999936733
,,-0.02,,,,,False,0.0,,276.04484830999996,,,-66.45809639316538,,72.90482007958445,-65.0,0,0,-66.45809640159169,20.124999999936733
,,0.0,,,,,False,0.0,,,,,-65.0,,,-65.0,0,0,-65.0,
