adaptation_ratio_last_over_first_isi,ahp_mV,amplitude_nA,ap_amplitude_mV,ap_half_width_ms,ap_peak_mV,ap_threshold_mV,depolarization_block_flag,firing_rate_Hz,first_spike_latency_ms,input_capacitance_pF,isi_cv,last_spike_time_ms,late_step_mean_voltage_mV,max_dvdt_V_s,mean_isi_ms,post_step_recovery_error_mV,post_step_recovery_mean_mV,rin_MOhm,rmp_mV,spike_count,spontaneous_spike_count,steady_state_mV,tau_ms
,,0.55,,,,,False,0.0,,133.03725095943815,,,-57.76415581504223,10.59702118547077,,0.01835170617323456,-67.35562607470195,17.476308200789518,-67.37397778087518,0,0,-57.762008270440944,2.3249999999529223
,22.02437382971936,0.6,73.72723554689392,0.7595677032886101,26.298085296094907,-47.42915025079902,False,2.0,11.149999999944896,,,11.149999999944896,-57.36923709275288,220.06839098774643,,0.01886379229340207,-67.35511398858178,,-67.37397778087518,1,0,-57.36604339456303,
,22.090653415263816,0.65,74.19411907121348,0.7533225981641749,26.910627408969408,-47.283491662244074,False,2.0,9.249999999946624,,,9.249999999946624,-56.99993813085341,225.8496130903823,,0.019310958657200672,-67.35466682221798,,-67.37397778087518,1,0,-56.99655720710849,
,21.915355498505654,0.7,74.62374857756595,0.7526486918912383,27.23636240932557,-47.387386168240376,False,2.0,8.09999999994767,,,8.09999999994767,-56.65103479220953,230.5089763639513,,0.019695864045488065,-67.35428191682969,,-67.37397778087518,1,0,-56.64739721698799,
