time_ms soma_mV AIS_mV
738.950000 -73.545727 -73.545099
738.975000 -73.545628 -73.544999
739.000000 -73.545528 -73.544900
739.025000 -73.545428 -73.544800
739.050000 -73.545329 -73.544700
739.075000 -73.545229 -73.544601
739.100000 -73.545129 -73.544501
739.125000 -73.545029 -73.544401
739.150000 -73.544930 -73.544302
739.175000 -73.544830 -73.544202
739.200000 -73.544730 -73.544102
739.225000 -73.544631 -73.544002
739.250000 -73.544531 -73.543903
739.275000 -73.544431 -73.543803
739.300000 -73.544331 -73.543703
739.325000 -73.544232 -73.543603
739.350000 -73.544132 -73.543504
739.375000 -73.544032 -73.543404
739.400000 -73.543932 -73.543304
739.425000 -73.543833 -73.543204
739.450000 -73.543733 -73.543104
739.475000 -73.543633 -73.543005
739.500000 -73.543533 -73.542905
739.525000 -73.543433 -73.542805
739.550000 -73.543334 -73.542705
739.575000 -73.543234 -73.542605
739.600000 -73.543134 -73.542505
739.625000 -73.543034 -73.542406
739.650000 -73.542934 -73.542306
739.675000 -73.542835 -73.542206
739.700000 -73.542735 -73.542106
739.725000 -73.542635 -73.542006
739.750000 -73.542535 -73.541906
739.775000 -73.542435 -73.541806
739.800000 -73.542335 -73.541707
739.825000 -73.542235 -73.541607
739.850000 -73.542136 -73.541507
739.875000 -73.542036 -73.541407
739.900000 -73.541936 -73.541307
739.925000 -73.541836 -73.541207
739.950000 -73.541736 -73.541107
739.975000 -73.541636 -73.541007
740.000000 -73.541536 -73.540907
740.025000 -73.541436 -73.540807
740.050000 -73.541336 -73.540707
740.075000 -73.541236 -73.540608
740.100000 -73.541137 -73.540508
740.125000 -73.541037 -73.540408
740.150000 -73.540937 -73.540308
740.175000 -73.540837 -73.540208
740.200000 -73.540737 -73.540108
740.225000 -73.540637 -73.540008
740.250000 -73.540537 -73.539908
740.275000 -73.540437 -73.539808
740.300000 -73.540337 -73.539708
740.325000 -73.540237 -73.539608
740.350000 -73.540137 -73.539508
740.375000 -73.540037 -73.539408
740.400000 -73.539937 -73.539308
740.425000 -73.539837 -73.539208
740.450000 -73.539737 -73.539108
740.475000 -73.539637 -73.539008
740.500000 -73.539537 -73.538908
740.525000 -73.539437 -73.538808
