time_ms soma_mV ais_mV
4.675000 -72.787035 -72.786361
4.700000 -72.786980 -72.786307
4.725000 -72.786926 -72.786253
4.750000 -72.786871 -72.786198
4.775000 -72.786817 -72.786144
4.800000 -72.786763 -72.786090
4.825000 -72.786709 -72.786036
4.850000 -72.786655 -72.785981
4.875000 -72.786600 -72.785927
4.900000 -72.786546 -72.785873
4.925000 -72.786492 -72.785819
4.950000 -72.786439 -72.785765
4.975000 -72.786385 -72.785711
5.000000 -72.786331 -72.785658
5.025000 -72.786277 -72.785604
5.050000 -72.786223 -72.785550
5.075000 -72.786170 -72.785496
5.100000 -72.786116 -72.785443
5.125000 -72.786062 -72.785389
5.150000 -72.786009 -72.785335
5.175000 -72.785955 -72.785282
5.200000 -72.785902 -72.785228
5.225000 -72.785848 -72.785175
5.250000 -72.785795 -72.785121
5.275000 -72.785742 -72.785068
5.300000 -72.785688 -72.785015
5.325000 -72.785635 -72.784962
5.350000 -72.785582 -72.784908
5.375000 -72.785529 -72.784855
5.400000 -72.785476 -72.784802
5.425000 -72.785422 -72.784749
5.450000 -72.785369 -72.784696
5.475000 -72.785316 -72.784643
5.500000 -72.785263 -72.784590
5.525000 -72.785210 -72.784537
5.550000 -72.785158 -72.784484
5.575000 -72.785105 -72.784431
5.600000 -72.785052 -72.784378
5.625000 -72.784999 -72.784326
5.650000 -72.784946 -72.784273
5.675000 -72.784894 -72.784220
5.700000 -72.784841 -72.784167
5.725000 -72.784788 -72.784115
5.750000 -72.784736 -72.784062
5.775000 -72.784683 -72.784010
5.800000 -72.784631 -72.783957
5.825000 -72.784578 -72.783905
5.850000 -72.784526 -72.783852
5.875000 -72.784474 -72.783800
5.900000 -72.784421 -72.783747
5.925000 -72.784369 -72.783695
5.950000 -72.784317 -72.783643
5.975000 -72.784264 -72.783591
6.000000 -72.784212 -72.783538
6.025000 -72.784160 -72.783486
6.050000 -72.784108 -72.783434
6.075000 -72.784056 -72.783382
6.100000 -72.784004 -72.783330
6.125000 -72.783952 -72.783278
6.150000 -72.783900 -72.783226
6.175000 -72.783848 -72.783174
6.200000 -72.783796 -72.783122
6.225000 -72.783744 -72.783070
6.250000 -72.783692 -72.783018
6.275000 -72.783640 -72.782966
6.300000 -72.783588 -72.782914
6.325000 -72.783536 -72.782862
6.350000 -72.783485 -72.782811
6.375000 -72.783433 -72.782759
6.400000 -72.783381 -72.782707
6.425000 -72.783330 -72.782656
6.450000 -72.783278 -72.782604
6.475000 -72.783226 -72.782552
6.500000 -72.783175 -72.782501
6.525000 -72.783123 -72.782449
6.550000 -72.783072 -72.782398
6.575000 -72.783020 -72.782346
6.600000 -72.782969 -72.782295
6.625000 -72.782917 -72.782243
6.650000 -72.782866 -72.782192
6.675000 -72.782815 -72.782141
6.700000 -72.782763 -72.782089
6.725000 -72.782712 -72.782038
6.750000 -72.782661 -72.781987
6.775000 -72.782610 -72.781935
6.800000 -72.782558 -72.781884
6.825000 -72.782507 -72.781833
6.850000 -72.782456 -72.781782
6.875000 -72.782405 -72.781731
6.900000 -72.782354 -72.781679
6.925000 -72.782303 -72.781628
6.950000 -72.782252 -72.781577
6.975000 -72.782201 -72.781526
7.000000 -72.782150 -72.781475
7.025000 -72.782099 -72.781424
7.050000 -72.782048 -72.781373
7.075000 -72.781997 -72.781322
7.100000 -72.781946 -72.781271
7.125000 -72.781895 -72.781221
7.150000 -72.781844 -72.781170
7.175000 -72.781793 -72.781119
7.200000 -72.781743 -72.781068
7.225000 -72.781692 -72.781017
7.250000 -72.781641 -72.780967
7.275000 -72.781590 -72.780916
7.300000 -72.781540 -72.780865
7.325000 -72.781489 -72.780814
7.350000 -72.781438 -72.780764
7.375000 -72.781388 -72.780713
7.400000 -72.781337 -72.780662
7.425000 -72.781286 -72.780612
7.450000 -72.781236 -72.780561
7.475000 -72.781185 -72.780511
7.500000 -72.781135 -72.780460
7.525000 -72.781084 -72.780410
7.550000 -72.781034 -72.780359
7.575000 -72.780984 -72.780309
7.600000 -72.780933 -72.780258
7.625000 -72.780883 -72.780208
7.650000 -72.780832 -72.780158
7.675000 -72.780782 -72.780107
7.700000 -72.780732 -72.780057
7.725000 -72.780681 -72.780007
7.750000 -72.780631 -72.779956
7.775000 -72.780581 -72.779906
7.800000 -72.780531 -72.779856
7.825000 -72.780480 -72.779806
7.850000 -72.780430 -72.779755
7.875000 -72.780380 -72.779705
7.900000 -72.780330 -72.779655
7.925000 -72.780280 -72.779605
7.950000 -72.780230 -72.779555
7.975000 -72.780180 -72.779505
8.000000 -72.780130 -72.779455
8.025000 -72.780080 -72.779405
8.050000 -72.780030 -72.779355
8.075000 -72.779980 -72.779305
8.100000 -72.779930 -72.779255
8.125000 -72.779880 -72.779205
8.150000 -72.779830 -72.779155
8.175000 -72.779780 -72.779105
8.200000 -72.779730 -72.779055
8.225000 -72.779680 -72.779005
8.250000 -72.779630 -72.778955
8.275000 -72.779580 -72.778905
8.300000 -72.779530 -72.778855
8.325000 -72.779481 -72.778806
8.350000 -72.779431 -72.778756
8.375000 -72.779381 -72.778706
8.400000 -72.779331 -72.778656
8.425000 -72.779282 -72.778607
8.450000 -72.779232 -72.778557
8.475000 -72.779182 -72.778507
8.500000 -72.779133 -72.778457
8.525000 -72.779083 -72.778408
8.550000 -72.779033 -72.778358
8.575000 -72.778984 -72.778309
8.600000 -72.778934 -72.778259
8.625000 -72.778884 -72.778209
8.650000 -72.778835 -72.778160
8.675000 -72.778785 -72.778110
8.700000 -72.778736 -72.778061
8.725000 -72.778686 -72.778011
8.750000 -72.778637 -72.777962
8.775000 -72.778587 -72.777912
8.800000 -72.778538 -72.777863
8.825000 -72.778489 -72.777813
8.850000 -72.778439 -72.777764
8.875000 -72.778390 -72.777714
8.900000 -72.778340 -72.777665
8.925000 -72.778291 -72.777616
8.950000 -72.778242 -72.777566
8.975000 -72.778192 -72.777517
9.000000 -72.778143 -72.777468
9.025000 -72.778094 -72.777418
9.050000 -72.778044 -72.777369
9.075000 -72.777995 -72.777320
9.100000 -72.777946 -72.777270
9.125000 -72.777897 -72.777221
9.150000 -72.777847 -72.777172
9.175000 -72.777798 -72.777123
9.200000 -72.777749 -72.777074
9.225000 -72.777700 -72.777024
9.250000 -72.777651 -72.776975
9.275000 -72.777602 -72.776926
9.300000 -72.777552 -72.776877
9.325000 -72.777503 -72.776828
9.350000 -72.777454 -72.776779
9.375000 -72.777405 -72.776730
9.400000 -72.777356 -72.776681
9.425000 -72.777307 -72.776632
9.450000 -72.777258 -72.776583
9.475000 -72.777209 -72.776534
9.500000 -72.777160 -72.776485
9.525000 -72.777111 -72.776436
9.550000 -72.777062 -72.776387
9.575000 -72.777013 -72.776338
9.600000 -72.776964 -72.776289
9.625000 -72.776915 -72.776240
9.650000 -72.776866 -72.776191
9.675000 -72.776818 -72.776142
9.700000 -72.776769 -72.776093
9.725000 -72.776720 -72.776044
9.750000 -72.776671 -72.775995
9.775000 -72.776622 -72.775946
9.800000 -72.776573 -72.775898
9.825000 -72.776524 -72.775849
9.850000 -72.776476 -72.775800
9.875000 -72.776427 -72.775751
9.900000 -72.776378 -72.775702
9.925000 -72.776329 -72.775654
9.950000 -72.776281 -72.775605
9.975000 -72.776232 -72.775556
10.000000 -72.776183 -72.775507
10.025000 -72.776135 -72.775459
10.050000 -72.776086 -72.775410
10.075000 -72.776037 -72.775361
10.100000 -72.775989 -72.775313
10.125000 -72.775940 -72.775264
10.150000 -72.775891 -72.775215
10.175000 -72.775843 -72.775167
10.200000 -72.775794 -72.775118
10.225000 -72.775746 -72.775070
10.250000 -72.775697 -72.775021
10.275000 -72.775648 -72.774973
10.300000 -72.775600 -72.774924
10.325000 -72.775551 -72.774875
10.350000 -72.775503 -72.774827
10.375000 -72.775454 -72.774778
10.400000 -72.775406 -72.774730
10.425000 -72.775357 -72.774681
10.450000 -72.775309 -72.774633
10.475000 -72.775260 -72.774584
10.500000 -72.775212 -72.774536
10.525000 -72.775164 -72.774488
10.550000 -72.775115 -72.774439
10.575000 -72.775067 -72.774391
10.600000 -72.775018 -72.774342
10.625000 -72.774970 -72.774294
10.650000 -72.774922 -72.774246
10.675000 -72.774873 -72.774197
10.700000 -72.774825 -72.774149
10.725000 -72.774777 -72.774101
10.750000 -72.774728 -72.774052
10.775000 -72.774680 -72.774004
10.800000 -72.774632 -72.773956
10.825000 -72.774584 -72.773907
10.850000 -72.774535 -72.773859
10.875000 -72.774487 -72.773811
10.900000 -72.774439 -72.773763
