condition,AMPA_weight,NMDA_weight,GABA_weight,baseline_mV,peak_mV,voltage_change_mV,spike_count,afterdischarge_mean_400_600ms
normal,0.002,0.0005,0.0015,-65.0,-60.024593306825075,4.975406693174925,0,-65.09522066288147
neuropathic_like,0.004,0.0012,0.0003,-65.0,-55.49689157745404,9.503108422545957,0,-62.7353131201594
