time_ms,soma_mv,proximal_axon_mv,proximal_dendrite_mv,current_na
0.0,-60.0,-60.0,-60.0,-0.02
0.09999999999999999,-60.0,-60.0,-60.0,-0.02
0.20000000000000004,-60.0,-60.0,-60.0,-0.02
0.3000000000000001,-60.0,-60.0,-60.0,-0.02
0.4000000000000002,-60.0,-60.0,-60.0,-0.02
0.5000000000000002,-60.0,-60.0,-60.0,-0.02
0.5999999999999999,-60.0,-60.0,-60.0,-0.02
0.6999999999999995,-60.0,-60.0,-60.0,-0.02
0.7999999999999992,-60.0,-60.0,-60.0,-0.02
0.8999999999999988,-60.0,-60.0,-60.0,-0.02
0.9999999999999984,-60.0,-60.0,-60.0,-0.02
1.099999999999998,-60.0,-60.0,-60.0,-0.02
1.1999999999999977,-60.0,-60.0,-60.0,-0.02
1.2999999999999974,-60.0,-60.0,-60.0,-0.02
1.399999999999997,-60.0,-60.0,-60.0,-0.02
1.4999999999999967,-60.0,-60.0,-60.0,-0.02
1.5999999999999963,-60.0,-60.0,-60.0,-0.02
1.699999999999996,-60.0,-60.0,-60.0,-0.02
1.7999999999999956,-60.0,-60.0,-60.0,-0.02
1.8999999999999952,-60.0,-60.0,-60.0,-0.02
1.999999999999995,-60.0,-60.0,-60.0,-0.02
2.099999999999996,-60.0,-60.0,-60.0,-0.02
2.1999999999999975,-60.0,-60.0,-60.0,-0.02
2.299999999999999,-60.0,-60.0,-60.0,-0.02
2.4000000000000004,-60.0,-60.0,-60.0,-0.02
2.5000000000000018,-60.0,-60.0,-60.0,-0.02
2.600000000000003,-60.0,-60.0,-60.0,-0.02
2.7000000000000046,-60.0,-60.0,-60.0,-0.02
2.800000000000006,-60.0,-60.0,-60.0,-0.02
2.9000000000000075,-60.0,-60.0,-60.0,-0.02
3.000000000000009,-60.0,-60.0,-60.0,-0.02
3.1000000000000103,-60.0,-60.0,-60.0,-0.02
3.2000000000000117,-60.0,-60.0,-60.0,-0.02
3.300000000000013,-60.0,-60.0,-60.0,-0.02
3.4000000000000146,-60.0,-60.0,-60.0,-0.02
3.500000000000016,-60.0,-60.0,-60.0,-0.02
3.6000000000000174,-60.0,-60.0,-60.0,-0.02
3.700000000000019,-60.0,-60.0,-60.0,-0.02
3.8000000000000203,-60.0,-60.0,-60.0,-0.02
3.9000000000000217,-60.0,-60.0,-60.0,-0.02
4.000000000000023,-60.0,-60.0,-60.0,-0.02
4.1000000000000245,-60.0,-60.0,-60.0,-0.02
4.200000000000026,-60.0,-60.0,-60.0,-0.02
4.300000000000027,-60.0,-60.0,-60.0,-0.02
4.400000000000029,-60.0,-60.0,-60.0,-0.02
4.50000000000003,-60.0,-60.0,-60.0,-0.02
4.600000000000032,-60.0,-60.0,-60.0,-0.02
4.700000000000033,-60.0,-60.0,-60.0,-0.02
4.8000000000000345,-60.0,-60.0,-60.0,-0.02
4.900000000000036,-60.0,-60.0,-60.0,-0.02
5.000000000000037,-60.0,-60.0,-60.0,-0.02
5.100000000000039,-60.0,-60.0,-60.0,-0.02
5.20000000000004,-60.0,-60.0,-60.0,-0.02
5.300000000000042,-60.0,-60.0,-60.0,-0.02
5.400000000000043,-60.0,-60.0,-60.0,-0.02
5.500000000000044,-60.0,-60.0,-60.0,-0.02
5.600000000000046,-60.0,-60.0,-60.0,-0.02
5.700000000000047,-60.0,-60.0,-60.0,-0.02
5.800000000000049,-60.0,-60.0,-60.0,-0.02
5.90000000000005,-60.0,-60.0,-60.0,-0.02
6.0000000000000515,-60.0,-60.0,-60.0,-0.02
6.100000000000053,-60.0,-60.0,-60.0,-0.02
6.200000000000054,-60.0,-60.0,-60.0,-0.02
6.300000000000056,-60.0,-60.0,-60.0,-0.02
6.400000000000057,-60.0,-60.0,-60.0,-0.02
6.500000000000059,-60.0,-60.0,-60.0,-0.02
6.60000000000006,-60.0,-60.0,-60.0,-0.02
