time_ms soma_mV AIS_mV
567.125000 -54.225328 -54.104307
567.150000 -54.216470 -54.095169
567.175000 -54.207603 -54.086022
567.200000 -54.198729 -54.076867
567.225000 -54.189848 -54.067705
567.250000 -54.180959 -54.058534
567.275000 -54.172063 -54.049355
567.300000 -54.163159 -54.040168
567.325000 -54.154248 -54.030973
567.350000 -54.145329 -54.021769
567.375000 -54.136403 -54.012556
567.400000 -54.127468 -54.003333
567.425000 -54.118526 -53.994100
567.450000 -54.109576 -53.984857
567.475000 -54.100617 -53.975603
567.500000 -54.091650 -53.966339
567.525000 -54.082675 -53.957064
567.550000 -54.073692 -53.947778
567.575000 -54.064699 -53.938481
567.600000 -54.055698 -53.929174
567.625000 -54.046688 -53.919855
567.650000 -54.037670 -53.910525
567.675000 -54.028642 -53.901184
567.700000 -54.019605 -53.891832
567.725000 -54.010559 -53.882469
567.750000 -54.001503 -53.873095
567.775000 -53.992438 -53.863709
567.800000 -53.983364 -53.854313
567.825000 -53.974280 -53.844905
567.850000 -53.965186 -53.835486
567.875000 -53.956082 -53.826055
567.900000 -53.946969 -53.816614
567.925000 -53.937846 -53.807161
567.950000 -53.928714 -53.797698
567.975000 -53.919571 -53.788223
568.000000 -53.910419 -53.778736
568.025000 -53.901256 -53.769239
568.050000 -53.892084 -53.759731
568.075000 -53.882902 -53.750211
568.100000 -53.873709 -53.740680
568.125000 -53.864507 -53.731138
568.150000 -53.855295 -53.721585
568.175000 -53.846072 -53.712021
568.200000 -53.836840 -53.702446
568.225000 -53.827597 -53.692859
568.250000 -53.818344 -53.683261
568.275000 -53.809082 -53.673652
568.300000 -53.799809 -53.664032
568.325000 -53.790525 -53.654401
568.350000 -53.781232 -53.644758
568.375000 -53.771929 -53.635104
568.400000 -53.762615 -53.625439
568.425000 -53.753291 -53.615763
568.450000 -53.743957 -53.606076
568.475000 -53.734612 -53.596377
568.500000 -53.725257 -53.586667
568.525000 -53.715892 -53.576945
568.550000 -53.706517 -53.567213
568.575000 -53.697131 -53.557469
568.600000 -53.687735 -53.547713
568.625000 -53.678328 -53.537947
568.650000 -53.668911 -53.528169
568.675000 -53.659484 -53.518379
568.700000 -53.650046 -53.508579
568.725000 -53.640598 -53.498766
568.750000 -53.631139 -53.488943
568.775000 -53.621670 -53.479108
568.800000 -53.612191 -53.469261
568.825000 -53.602701 -53.459403
568.850000 -53.593200 -53.449534
568.875000 -53.583689 -53.439652
568.900000 -53.574167 -53.429760
568.925000 -53.564635 -53.419856
568.950000 -53.555092 -53.409940
568.975000 -53.545538 -53.400012
569.000000 -53.535974 -53.390073
569.025000 -53.526399 -53.380123
569.050000 -53.516813 -53.370160
569.075000 -53.507217 -53.360186
569.100000 -53.497610 -53.350201
569.125000 -53.487992 -53.340203
569.150000 -53.478363 -53.330194
569.175000 -53.468724 -53.320173
569.200000 -53.459073 -53.310140
569.225000 -53.449412 -53.300095
569.250000 -53.439740 -53.290038
569.275000 -53.430057 -53.279970
569.300000 -53.420364 -53.269889
569.325000 -53.410659 -53.259797
569.350000 -53.400943 -53.249693
569.375000 -53.391216 -53.239576
569.400000 -53.381479 -53.229448
569.425000 -53.371730 -53.219307
569.450000 -53.361970 -53.209155
569.475000 -53.352199 -53.198990
569.500000 -53.342417 -53.188813
569.525000 -53.332624 -53.178625
569.550000 -53.322820 -53.168424
569.575000 -53.313005 -53.158210
569.600000 -53.303178 -53.147985
569.625000 -53.293340 -53.137747
569.650000 -53.283491 -53.127497
569.675000 -53.273631 -53.117234
569.700000 -53.263759 -53.106960
569.725000 -53.253876 -53.096672
569.750000 -53.243981 -53.086373
569.775000 -53.234076 -53.076061
569.800000 -53.224158 -53.065736
569.825000 -53.214230 -53.055399
569.850000 -53.204290 -53.045050
569.875000 -53.194338 -53.034687
569.900000 -53.184375 -53.024311
569.925000 -53.174400 -53.013920
569.950000 -53.164413 -53.003514
569.975000 -53.154414 -52.993093
570.000000 -53.144402 -52.982656
570.025000 -53.134378 -52.972204
570.050000 -53.124342 -52.961735
570.075000 -53.114292 -52.951250
570.100000 -53.104230 -52.940748
570.125000 -53.094154 -52.930231
570.150000 -53.084066 -52.919696
570.175000 -53.073964 -52.909145
570.200000 -53.063848 -52.898577
570.225000 -53.053718 -52.887992
570.250000 -53.043575 -52.877390
570.275000 -53.033418 -52.866772
570.300000 -53.023246 -52.856136
570.325000 -53.013061 -52.845483
570.350000 -53.002861 -52.834814
570.375000 -52.992646 -52.824127
570.400000 -52.982417 -52.813423
570.425000 -52.972173 -52.802702
570.450000 -52.961914 -52.791963
570.475000 -52.951640 -52.781207
570.500000 -52.941352 -52.770434
570.525000 -52.931048 -52.759644
570.550000 -52.920729 -52.748837
570.575000 -52.910395 -52.738012
570.600000 -52.900046 -52.727170
570.625000 -52.889682 -52.716310
570.650000 -52.879302 -52.705433
570.675000 -52.868906 -52.694539
570.700000 -52.858496 -52.683627
570.725000 -52.848070 -52.672698
570.750000 -52.837628 -52.661752
570.775000 -52.827171 -52.650788
570.800000 -52.816698 -52.639806
570.825000 -52.806209 -52.628807
570.850000 -52.795705 -52.617790
570.875000 -52.785185 -52.606756
570.900000 -52.774649 -52.595704
570.925000 -52.764098 -52.584635
570.950000 -52.753530 -52.573548
570.975000 -52.742947 -52.562443
571.000000 -52.732348 -52.551320
571.025000 -52.721733 -52.540179
571.050000 -52.711102 -52.529021
571.075000 -52.700454 -52.517845
571.100000 -52.689791 -52.506651
571.125000 -52.679111 -52.495439
571.150000 -52.668416 -52.484209
571.175000 -52.657704 -52.472961
571.200000 -52.646976 -52.461695
571.225000 -52.636231 -52.450411
571.250000 -52.625470 -52.439108
571.275000 -52.614693 -52.427788
571.300000 -52.603900 -52.416449
571.325000 -52.593090 -52.405092
571.350000 -52.582263 -52.393716
571.375000 -52.571420 -52.382323
571.400000 -52.560560 -52.370910
571.425000 -52.549684 -52.359480
571.450000 -52.538791 -52.348030
571.475000 -52.527881 -52.336563
571.500000 -52.516954 -52.325076
571.525000 -52.506011 -52.313571
571.550000 -52.495050 -52.302047
571.575000 -52.484073 -52.290505
571.600000 -52.473079 -52.278943
571.625000 -52.462068 -52.267363
571.650000 -52.451039 -52.255764
571.675000 -52.439994 -52.244145
571.700000 -52.428931 -52.232508
571.725000 -52.417852 -52.220851
571.750000 -52.406755 -52.209176
571.775000 -52.395640 -52.197481
571.800000 -52.384508 -52.185767
571.825000 -52.373359 -52.174033
571.850000 -52.362193 -52.162280
571.875000 -52.351009 -52.150508
571.900000 -52.339807 -52.138716
571.925000 -52.328588 -52.126905
571.950000 -52.317350 -52.115074
571.975000 -52.306096 -52.103223
572.000000 -52.294823 -52.091353
572.025000 -52.283533 -52.079462
572.050000 -52.272225 -52.067552
572.075000 -52.260898 -52.055622
572.100000 -52.249554 -52.043670
572.125000 -52.238191 -52.031697
572.150000 -52.226810 -52.019701
572.175000 -52.215410 -52.007681
572.200000 -52.203992 -51.995638
572.225000 -52.192553 -51.983570
572.250000 -52.181096 -51.971478
572.275000 -52.169618 -51.959360
572.300000 -52.158121 -51.947216
572.325000 -52.146603 -51.935047
572.350000 -52.135065 -51.922853
572.375000 -52.123506 -51.910633
572.400000 -52.111927 -51.898387
572.425000 -52.100326 -51.886113
572.450000 -52.088703 -51.873814
572.475000 -52.077059 -51.861488
572.500000 -52.065394 -51.849135
572.525000 -52.053706 -51.836756
572.550000 -52.041996 -51.824350
572.575000 -52.030264 -51.811917
572.600000 -52.018509 -51.799457
572.625000 -52.006731 -51.786970
572.650000 -51.994930 -51.774455
572.675000 -51.983106 -51.761912
572.700000 -51.971258 -51.749343
572.725000 -51.959387 -51.736745
572.750000 -51.947492 -51.724120
572.775000 -51.935573 -51.711467
572.800000 -51.923631 -51.698787
572.825000 -51.911664 -51.686078
572.850000 -51.899673 -51.673341
572.875000 -51.887658 -51.660577
572.900000 -51.875618 -51.647784
572.925000 -51.863554 -51.634964
572.950000 -51.851466 -51.622115
572.975000 -51.839352 -51.609237
573.000000 -51.827214 -51.596331
573.025000 -51.815051 -51.583397
573.050000 -51.802862 -51.570434
573.075000 -51.790649 -51.557443
573.100000 -51.778411 -51.544422
573.125000 -51.766147 -51.531373
573.150000 -51.753858 -51.518295
573.175000 -51.741543 -51.505188
573.200000 -51.729203 -51.492052
573.225000 -51.716837 -51.478887
573.250000 -51.704445 -51.465692
573.275000 -51.692027 -51.452468
573.300000 -51.679584 -51.439215
573.325000 -51.667114 -51.425932
573.350000 -51.654618 -51.412619
573.375000 -51.642096 -51.399276
573.400000 -51.629548 -51.385904
573.425000 -51.616973 -51.372502
573.450000 -51.604371 -51.359069
573.475000 -51.591743 -51.345606
573.500000 -51.579088 -51.332113
573.525000 -51.566407 -51.318589
573.550000 -51.553698 -51.305035
573.575000 -51.540963 -51.291450
573.600000 -51.528200 -51.277835
573.625000 -51.515410 -51.264188
573.650000 -51.502592 -51.250511
573.675000 -51.489747 -51.236802
573.700000 -51.476875 -51.223062
573.725000 -51.463974 -51.209291
573.750000 -51.451046 -51.195488
573.775000 -51.438090 -51.181653
573.800000 -51.425106 -51.167787
573.825000 -51.412094 -51.153888
573.850000 -51.399054 -51.139958
573.875000 -51.385985 -51.125995
573.900000 -51.372888 -51.112000
573.925000 -51.359762 -51.097973
573.950000 -51.346608 -51.083913
573.975000 -51.333425 -51.069821
574.000000 -51.320212 -51.055693
574.025000 -51.306970 -51.041530
574.050000 -51.293699 -51.027329
574.075000 -51.280397 -51.013090
574.100000 -51.267064 -50.998813
574.125000 -51.253701 -50.984498
574.150000 -51.240306 -50.970141
574.175000 -51.226880 -50.955744
574.200000 -51.213421 -50.941305
574.225000 -51.199930 -50.926825
574.250000 -51.186406 -50.912304
574.275000 -51.172848 -50.897742
574.300000 -51.159257 -50.883136
574.325000 -51.145632 -50.868487
574.350000 -51.131972 -50.853795
574.375000 -51.118278 -50.839060
574.400000 -51.104548 -50.824281
574.425000 -51.090783 -50.809459
574.450000 -51.076982 -50.794592
574.475000 -51.063145 -50.779682
574.500000 -51.049271 -50.764727
574.525000 -51.035360 -50.749727
574.550000 -51.021412 -50.734682
574.575000 -51.007427 -50.719591
574.600000 -50.993403 -50.704455
574.625000 -50.979341 -50.689273
574.650000 -50.965241 -50.674045
574.675000 -50.951102 -50.658770
574.700000 -50.936923 -50.643449
574.725000 -50.922705 -50.628082
574.750000 -50.908448 -50.612667
574.775000 -50.894150 -50.597205
574.800000 -50.879812 -50.581696
574.825000 -50.865434 -50.566140
574.850000 -50.851016 -50.550535
574.875000 -50.836556 -50.534883
574.900000 -50.822056 -50.519183
574.925000 -50.807514 -50.503434
574.950000 -50.792930 -50.487636
574.975000 -50.778305 -50.471790
575.000000 -50.763638 -50.455894
575.025000 -50.748929 -50.439949
575.050000 -50.734177 -50.423955
575.075000 -50.719382 -50.407911
575.100000 -50.704545 -50.391816
575.125000 -50.689664 -50.375672
575.150000 -50.674741 -50.359477
575.175000 -50.659773 -50.343231
575.200000 -50.644762 -50.326933
575.225000 -50.629707 -50.310585
575.250000 -50.614607 -50.294185
575.275000 -50.599463 -50.277733
575.300000 -50.584274 -50.261229
575.325000 -50.569040 -50.244672
575.350000 -50.553761 -50.228063
575.375000 -50.538437 -50.211401
575.400000 -50.523066 -50.194685
575.425000 -50.507650 -50.177916
575.450000 -50.492188 -50.161093
575.475000 -50.476679 -50.144216
575.500000 -50.461123 -50.127284
575.525000 -50.445520 -50.110297
575.550000 -50.429870 -50.093256
575.575000 -50.414173 -50.076156
575.600000 -50.398427 -50.058997
575.625000 -50.382632 -50.041777
575.650000 -50.366788 -50.024492
575.675000 -50.350893 -50.007144
575.700000 -50.334948 -49.989731
575.725000 -50.318951 -49.972252
575.750000 -50.302902 -49.954705
575.775000 -50.286800 -49.937088
575.800000 -50.270645 -49.919403
575.825000 -50.254435 -49.901648
575.850000 -50.238170 -49.883823
575.875000 -50.221850 -49.865928
575.900000 -50.205473 -49.847960
575.925000 -50.189040 -49.829919
575.950000 -50.172548 -49.811804
575.975000 -50.155999 -49.793616
576.000000 -50.139390 -49.775353
576.025000 -50.122722 -49.757015
576.050000 -50.105993 -49.738603
576.075000 -50.089204 -49.720114
576.100000 -50.072354 -49.701550
576.125000 -50.055441 -49.682907
576.150000 -50.038465 -49.664187
576.175000 -50.021426 -49.645388
576.200000 -50.004322 -49.626510
576.225000 -49.987153 -49.607552
576.250000 -49.969919 -49.588514
576.275000 -49.952619 -49.569395
576.300000 -49.935252 -49.550195
576.325000 -49.917818 -49.530912
576.350000 -49.900315 -49.511547
576.375000 -49.882745 -49.492099
