time_ms,normal_DRG_mV,neuropathic_like_DRG_mV
0.0,-65.0,-65.0
0.025,-65.07816841122799,-65.03270810395809
0.05,-65.15557051076338,-65.06533653929738
0.075,-65.23205699374867,-65.09784641683781
0.09999999999999999,-65.30747641107578,-65.13018707661527
0.12499999999999999,-65.38170380019737,-65.16231401694091
0.15,-65.45463883434195,-65.19418898321359
0.17500000000000002,-65.52620284122581,-65.22577931916672
0.20000000000000004,-65.59633601177354,-65.25705734536987
0.22500000000000006,-65.66499486141667,-65.28799979556952
0.25000000000000006,-65.73214994305238,-65.31858730836436
0.2750000000000001,-65.79778380226693,-65.34880397013272
0.3000000000000001,-65.8618891612852,-65.37863690507578
0.3250000000000001,-65.92446731564392,-65.40807590834153
0.35000000000000014,-65.98552672631953,-65.43711311836223
0.37500000000000017,-66.04508178965213,-65.46574272474717
0.4000000000000002,-66.10311714738381,-65.49396070830682
0.4250000000000002,-66.15964731071244,-65.52176461003027
0.45000000000000023,-66.21470238911965,-65.54915332608681
0.47500000000000026,-66.26831503535392,-65.57612692616676
0.5000000000000002,-66.32051942158363,-65.60268649271373
0.5250000000000001,-66.37135075896785,-65.62883397882432
0.55,-66.42084490804419,-65.65457208280282
0.575,-66.46903805333876,-65.67990413755481
0.5999999999999999,-66.51596643292906,-65.70483401318542
0.6249999999999998,-66.56166611532309,-65.72936603133417
0.6499999999999997,-66.60617281696861,-65.75350488993165
0.6749999999999996,-66.64952175454225,-65.77725559720082
0.6999999999999995,-66.69174752691653,-65.80062341385204
0.7249999999999994,-66.73288402236777,-65.82361380253393
0.7499999999999993,-66.77296434717762,-65.84623238370457
0.7749999999999992,-66.81202077230006,-65.86848489717931
0.7999999999999992,-66.85008469522214,-65.89037716869365
0.8249999999999991,-66.88718661454617,-65.91191508089373
0.849999999999999,-66.92335611516981,-65.93310454823258
0.8749999999999989,-66.95862186224393,-65.95395149530917
0.8999999999999988,-66.99301160235197,-65.97446183823999
0.9249999999999987,-67.02655217058314,-65.99464146869934
0.9499999999999986,-67.05925379916926,-66.0144962403062
0.9749999999999985,-67.09113847600636,-66.03401542058177
0.9999999999999984,-67.12223197830954,-66.05319890597352
1.0249999999999984,-67.15255922393705,-66.07205317994624
1.0499999999999983,-67.18214415888548,-66.09058485404735
1.0749999999999982,-67.2110097930349,-66.10880041617926
1.099999999999998,-67.23917823968793,-66.12670622020924
1.124999999999998,-67.26667075407202,-66.14430848548155
1.149999999999998,-67.29350777057348,-66.16161329719922
1.1749999999999978,-67.31970893864647,-66.1786266072532
1.1999999999999977,-67.34529315736677,-66.19535423541762
1.2249999999999976,-67.37027860861788,-66.2118018708518
1.2499999999999976,-67.39468278891087,-66.22797507385677
1.2749999999999975,-67.41852253985121,-66.24387927784166
1.2999999999999974,-67.44181407727461,-66.25951979146043
1.3249999999999973,-67.46457301908099,-66.27490180088492
1.3499999999999972,-67.48681441180105,-66.29003037218448
1.3749999999999971,-67.50855275593422,-66.30491045378682
1.399999999999997,-67.52980203009908,-66.31954687899764
1.424999999999997,-67.55057571403995,-66.33394436856017
1.4499999999999968,-67.57088681053406,-66.34810753323809
1.4749999999999968,-67.59074786624439,-66.36204087640793
1.4999999999999967,-67.61017099156341,-66.37574879664886
1.5249999999999966,-67.62916787949243,-66.38923559031986
1.5499999999999965,-67.64774982360066,-66.40250545411551
1.5749999999999964,-67.66592773510709,-66.41556248759346
1.5999999999999963,-67.68371215912711,-66.4284106956673
1.6249999999999962,-67.70111329012474,-66.44105399106016
1.6499999999999961,-67.7181409866095,-66.45349619671497
1.674999999999996,-67.73480478511604,-66.46574104815797
1.699999999999996,-67.75111391350256,-66.47779219581321
1.7249999999999959,-67.76707730360306,-66.48965320726599
1.7499999999999958,-67.78270360326644,-66.50132756947373
1.7749999999999957,-67.79800118781439,-66.5128186909235
1.7999999999999956,-67.8129781709482,-66.52412990373543
1.8249999999999955,-67.82764241513318,-66.53526446571193
1.8499999999999954,-67.84200154148822,-66.5462255623325
1.8749999999999953,-67.8560629392062,-66.55701630869454
1.8999999999999952,-67.86983377453016,-66.5676397514007
1.9249999999999952,-67.88332099930828,-66.5780988703931
1.949999999999995,-67.89653135914989,-66.58839658073542
1.974999999999995,-67.90947140120349,-66.5985357343436
1.999999999999995,-67.92214748157652,-66.60851912166626
2.024999999999995,-67.93456577241557,-66.61834947331567
2.0499999999999954,-67.94673226866482,-66.62802946165051
2.0749999999999957,-67.95865279451931,-66.6375617023115
2.099999999999996,-67.97033300958905,-66.64694875571115
2.1249999999999964,-67.9817784147887,-66.65619312847868
2.149999999999997,-67.9929943579671,-66.66529727486139
2.174999999999997,-68.00398603928987,-66.67426359808381
2.1999999999999975,-68.01475669677978,-66.68309445166558
2.224999999999998,-68.02530822831834,-66.6917921406995
2.2499999999999982,-68.03564574914809,-66.70035892309083
2.2749999999999986,-68.04577429965518,-66.70879701075897
2.299999999999999,-68.05569876233717,-66.71710857080288
2.3249999999999993,-68.06542386727848,-66.72529572663112
2.3499999999999996,-68.0749541994936,-66.73336055905777
2.375,-68.08429420579156,-66.74130510736539
2.4000000000000004,-68.0934482011468,-66.74913137033587
2.4250000000000007,-68.10242037462083,-66.75684130725044
2.450000000000001,-68.11121479487615,-66.76443683885962
2.4750000000000014,-68.11983541531924,-66.77191984832442
2.5000000000000018,-68.12828607890606,-66.77929218212927
2.525000000000002,-68.13657052263957,-66.78655565096815
2.5500000000000025,-68.14469238178616,-66.79371203060438
2.575000000000003,-68.15265519383479,-66.80076306270514
2.600000000000003,-68.16046240222069,-66.8077104556516
2.6250000000000036,-68.16811735983273,-66.81455588532532
2.650000000000004,-68.1756233323222,-66.82130099587184
2.6750000000000043,-68.18298350122869,-66.82794740044218
2.7000000000000046,-68.1902009669374,-66.83449668191304
2.725000000000005,-68.19727875148068,-66.84095039358621
2.7500000000000053,-68.20421980119568,-66.84731005986819
2.7750000000000057,-68.21102698924845,-66.85357717693044
2.800000000000006,-68.21770311803434,-66.85975321335098
2.8250000000000064,-68.22425092146325,-66.86583961073799
2.8500000000000068,-68.23067306713789,-66.87183778433594
2.875000000000007,-68.23697215843201,-66.87774912361488
2.9000000000000075,-68.24315073647558,-66.8835749928434
2.925000000000008,-68.24921128205264,-66.88931673164592
2.950000000000008,-68.2551562174175,-66.89497565554451
2.9750000000000085,-68.26098790803441,-66.90055305648619
3.000000000000009,-68.26670866424526,-66.90605020335579
3.0250000000000092,-68.27232074286955,-66.91146834247506
3.0500000000000096,-68.27782634874077,-66.91680869808842
3.07500000000001,-68.28322763618256,-66.92207247283564
3.1000000000000103,-68.28852671042817,-66.92726084821221
3.1250000000000107,-68.2937256289863,-66.93237498501739
3.150000000000011,-68.29882640295607,-66.93741602379055
3.1750000000000114,-68.30383099829403,-66.94238508523622
3.2000000000000117,-68.30874133703533,-66.94728327063808
3.225000000000012,-68.31355929847165,-66.9521116622622
3.2500000000000124,-68.31828672028787,-66.95687132375001
