time_ms,normal_SDH_mV,neuropathic_like_SDH_mV
0.0,-65.0,-65.0
0.025,-65.04528050471214,-65.04528050471214
0.05,-65.09014141770713,-65.09014141770713
0.075,-65.13453592783188,-65.13453592783188
0.09999999999999999,-65.17841683318665,-65.17841683318665
0.12499999999999999,-65.22174477608377,-65.22174477608377
0.15,-65.26448767143607,-65.26448767143607
0.17500000000000002,-65.30661982832929,-65.30661982832929
0.20000000000000004,-65.34812114390378,-65.34812114390378
0.22500000000000006,-65.38897638107541,-65.38897638107541
0.25000000000000006,-65.4291745246408,-65.4291745246408
0.2750000000000001,-65.46870820936944,-65.46870820936944
0.3000000000000001,-65.50757321368012,-65.50757321368012
0.3250000000000001,-65.54576801269096,-65.54576801269096
0.35000000000000014,-65.58329338473389,-65.58329338473389
0.37500000000000017,-65.62015206579439,-65.62015206579439
0.4000000000000002,-65.65634844674334,-65.65634844674334
0.4250000000000002,-65.6918883086486,-65.6918883086486
0.45000000000000023,-65.72677859187213,-65.72677859187213
0.47500000000000026,-65.76102719506504,-65.76102719506504
0.5000000000000002,-65.79464280055844,-65.79464280055844
0.5250000000000001,-65.82763472301012,-65.82763472301012
0.55,-65.86001277850168,-65.86001277850168
0.575,-65.89178717158823,-65.89178717158823
0.5999999999999999,-65.92296839808294,-65.92296839808294
0.6249999999999998,-65.9535671616116,-65.9535671616116
0.6499999999999997,-65.98359430220101,-65.98359430220101
0.6749999999999996,-66.0130607353692,-66.0130607353692
0.6999999999999995,-66.04197230673215,-66.04197230673215
0.7249999999999994,-66.0703339095658,-66.0703339095658
0.7499999999999993,-66.09815707081009,-66.09815707081009
0.7749999999999992,-66.12545340376872,-66.12545340376872
0.7999999999999992,-66.15223433792387,-66.15223433792387
0.8249999999999991,-66.17851109672597,-66.17851109672597
0.849999999999999,-66.20429468776193,-66.20429468776193
0.8749999999999989,-66.22959589575416,-66.22959589575416
0.8999999999999988,-66.25442527767467,-66.25442527767467
0.9249999999999987,-66.27879315964589,-66.27879315964589
0.9499999999999986,-66.30270963535446,-66.30270963535446
0.9749999999999985,-66.32618456574126,-66.32618456574126
0.9999999999999984,-66.34922757976265,-66.34922757976265
1.0249999999999984,-66.37184807604571,-66.37184807604571
1.0499999999999983,-66.3940552252843,-66.3940552252843
1.0749999999999982,-66.41585797324414,-66.41585797324414
1.099999999999998,-66.4372650442629,-66.4372650442629
1.124999999999998,-66.45828494514792,-66.45828494514792
1.149999999999998,-66.47892596938755,-66.47892596938755
1.1749999999999978,-66.49919620160435,-66.49919620160435
1.1999999999999977,-66.51910352218896,-66.51910352218896
