time_ms,voltage_mV
0.000000000000000000e+00,-6.500000000000000000e+01
2.500000000000000139e-02,-6.507633715919409667e+01
5.000000000000000278e-02,-6.515084177968229540e+01
7.499999999999999722e-02,-6.522369785292920596e+01
9.999999999999999167e-02,-6.529493449961465501e+01
1.249999999999999861e-01,-6.536454348273788639e+01
1.499999999999999944e-01,-6.543250942516435487e+01
1.750000000000000167e-01,-6.549882008157331370e+01
2.000000000000000389e-01,-6.556346984368636299e+01
2.250000000000000611e-01,-6.562646060155121575e+01
2.500000000000000555e-01,-6.568780150244684535e+01
2.750000000000000777e-01,-6.574750825035455648e+01
3.000000000000000999e-01,-6.580560223736624437e+01
3.250000000000001221e-01,-6.586210964637693621e+01
3.500000000000001443e-01,-6.591706059279266583e+01
3.750000000000001665e-01,-6.597048833693054348e+01
4.000000000000001887e-01,-6.602242857980384372e+01
4.250000000000002109e-01,-6.607290192588337163e+01
4.500000000000002331e-01,-6.612192695991349467e+01
4.750000000000002554e-01,-6.616954655529544027e+01
5.000000000000002220e-01,-6.621580441742102607e+01
5.250000000000001332e-01,-6.626074397372748592e+01
5.500000000000000444e-01,-6.630440813766958286e+01
5.749999999999999556e-01,-6.634683913396150956e+01
5.999999999999998668e-01,-6.638807835635218169e+01
6.249999999999997780e-01,-6.642816625482544168e+01
6.499999999999996891e-01,-6.646714224886818556e+01
6.749999999999996003e-01,-6.650504466327417674e+01
6.999999999999995115e-01,-6.654191068314025870e+01
7.249999999999994227e-01,-6.657777632503207599e+01
7.499999999999993339e-01,-6.661267642164824565e+01
7.749999999999992450e-01,-6.664664461765477199e+01
7.999999999999991562e-01,-6.667971337467821513e+01
8.249999999999990674e-01,-6.671191398373196080e+01
8.499999999999989786e-01,-6.674327658360334681e+01
8.749999999999988898e-01,-6.677383018395143210e+01
8.999999999999988010e-01,-6.680360269205901602e+01
9.249999999999987121e-01,-6.683262094234976303e+01
9.499999999999986233e-01,-6.686091072792588363e+01
9.749999999999985345e-01,-6.688849683350565556e+01
9.999999999999984457e-01,-6.691540306924602532e+01
1.024999999999998357e+00,-6.694165230502609631e+01
1.049999999999998268e+00,-6.696726650484406207e+01
1.074999999999998179e+00,-6.699226676104547096e+01
1.099999999999998090e+00,-6.701667332815569011e+01
1.124999999999998002e+00,-6.704049594919614208e+01
1.149999999999997913e+00,-6.706374960134859009e+01
1.174999999999997824e+00,-6.708645341426442599e+01
1.199999999999997735e+00,-6.710862580540167244e+01
1.224999999999997646e+00,-6.713028438189463998e+01
1.249999999999997558e+00,-6.715144598606332238e+01
1.274999999999997469e+00,-6.717212673893412500e+01
1.299999999999997380e+00,-6.719234207951781457e+01
1.324999999999997291e+00,-6.721210680087123990e+01
1.349999999999997202e+00,-6.723143508354681330e+01
1.374999999999997113e+00,-6.725034052679663432e+01
1.399999999999997025e+00,-6.726883617778342739e+01
1.424999999999996936e+00,-6.728693455898921627e+01
1.449999999999996847e+00,-6.730464769397552516e+01
1.474999999999996758e+00,-6.732198713162522097e+01
1.499999999999996669e+00,-6.733896396897867476e+01
1.524999999999996581e+00,-6.735558887276448559e+01
1.549999999999996492e+00,-6.737187209971459367e+01
1.574999999999996403e+00,-6.738782351574549523e+01
1.599999999999996314e+00,-6.740345261408009492e+01
1.624999999999996225e+00,-6.741876853237876333e+01
1.649999999999996136e+00,-6.743378006894276666e+01
1.674999999999996048e+00,-6.744849569804829059e+01
1.699999999999995959e+00,-6.746292358446538628e+01
1.724999999999995870e+00,-6.747707159721174719e+01
1.749999999999995781e+00,-6.749094732258816975e+01
1.774999999999995692e+00,-6.750455807653882800e+01
1.799999999999995604e+00,-6.751791091637700504e+01
1.824999999999995515e+00,-6.753101265191365599e+01
1.849999999999995426e+00,-6.754386985602413063e+01
1.874999999999995337e+00,-6.755648887468557007e+01
1.899999999999995248e+00,-6.756887583651577245e+01
1.924999999999995159e+00,-6.758103666184203462e+01
1.949999999999995071e+00,-6.759297707132660094e+01
1.974999999999994982e+00,-6.760470259417387240e+01
1.999999999999994893e+00,-6.761621857594266771e+01
2.024999999999995026e+00,-6.762753018598549204e+01
2.049999999999995381e+00,-6.763864242453530551e+01
2.074999999999995737e+00,-6.764956012945908981e+01
2.099999999999996092e+00,-6.766028798269624644e+01
2.124999999999996447e+00,-6.767083051639873759e+01
2.149999999999996803e+00,-6.768119211878887143e+01
2.174999999999997158e+00,-6.769137703974980980e+01
2.199999999999997513e+00,-6.770138939616255414e+01
2.224999999999997868e+00,-6.771123317700293853e+01
2.249999999999998224e+00,-6.772091224821080857e+01
2.274999999999998579e+00,-6.773043035734318096e+01
2.299999999999998934e+00,-6.773979113802234053e+01
2.324999999999999289e+00,-6.774899811418929119e+01
2.349999999999999645e+00,-6.775805470417229515e+01
2.375000000000000000e+00,-6.776696422457972346e+01
2.400000000000000355e+00,-6.777572989402590053e+01
2.425000000000000711e+00,-6.778435483669814232e+01
2.450000000000001066e+00,-6.779284208577273318e+01
2.475000000000001421e+00,-6.780119458668718835e+01
2.500000000000001776e+00,-6.780941520027563740e+01
2.525000000000002132e+00,-6.781750670577392270e+01
2.550000000000002487e+00,-6.782547180370059436e+01
2.575000000000002842e+00,-6.783331311861961410e+01
2.600000000000003197e+00,-6.784103320179026753e+01
2.625000000000003553e+00,-6.784863453370967079e+01
2.650000000000003908e+00,-6.785611952655264645e+01
2.675000000000004263e+00,-6.786349052651381442e+01
2.700000000000004619e+00,-6.787074981605627499e+01
2.725000000000004974e+00,-6.787789961607116140e+01
2.750000000000005329e+00,-6.788494208795202667e+01
2.775000000000005684e+00,-6.789187933558795862e+01
2.800000000000006040e+00,-6.789871340727891891e+01
2.825000000000006395e+00,-6.790544629757681605e+01
2.850000000000006750e+00,-6.791207994905559531e+01
2.875000000000007105e+00,-6.791861625401340063e+01
2.900000000000007461e+00,-6.792505705610972200e+01
2.925000000000007816e+00,-6.793140415194044124e+01
2.950000000000008171e+00,-6.793765929255334868e+01
2.975000000000008527e+00,-6.794382418490668840e+01
3.000000000000008882e+00,-6.794990049327320492e+01
3.025000000000009237e+00,-6.795588984059192228e+01
3.050000000000009592e+00,-6.796179380976987261e+01
3.075000000000009948e+00,-6.796761394493590558e+01
3.100000000000010303e+00,-6.797335175264845475e+01
3.125000000000010658e+00,-6.797900870305933552e+01
3.150000000000011013e+00,-6.798458623103520893e+01
3.175000000000011369e+00,-6.799008573723858717e+01
3.200000000000011724e+00,-6.799550858916987295e+01
3.225000000000012079e+00,-6.800085612217216635e+01
3.250000000000012434e+00,-6.800612925678868237e+01
3.275000000000012790e+00,-6.801132730879434973e+01
3.300000000000013145e+00,-6.801645168201744696e+01
3.325000000000013500e+00,-6.802150378224628469e+01
3.350000000000013856e+00,-6.802648496703253045e+01
3.375000000000014211e+00,-6.803139654898271260e+01
3.400000000000014566e+00,-6.803623979922949161e+01
3.425000000000014921e+00,-6.804101595024219762e+01
3.450000000000015277e+00,-6.804572619821108503e+01
3.475000000000015632e+00,-6.805037170513321598e+01
3.500000000000015987e+00,-6.805495360067043009e+01
3.525000000000016342e+00,-6.805947298382322685e+01
3.550000000000016698e+00,-6.806393092445057391e+01
3.575000000000017053e+00,-6.806832846465809439e+01
3.600000000000017408e+00,-6.807266662007184266e+01
3.625000000000017764e+00,-6.807694638101168039e+01
3.650000000000018119e+00,-6.808116871357577793e+01
3.675000000000018474e+00,-6.808533456064613176e+01
3.700000000000018829e+00,-6.808944484282321241e+01
3.725000000000019185e+00,-6.809350045929716089e+01
3.750000000000019540e+00,-6.809750228866158750e+01
3.775000000000019895e+00,-6.810145118967560052e+01
3.800000000000020250e+00,-6.810534800197883953e+01
3.825000000000020606e+00,-6.810919354676373416e+01
3.850000000000020961e+00,-6.811298862740882498e+01
3.875000000000021316e+00,-6.811673403007652894e+01
3.900000000000021672e+00,-6.812043052427819134e+01
3.925000000000022027e+00,-6.812407886340929508e+01
3.950000000000022382e+00,-6.812767978525712920e+01
3.975000000000022737e+00,-6.813123401248303423e+01
4.000000000000023093e+00,-6.813474225308121390e+01
4.025000000000023448e+00,-6.813820520081587517e+01
4.050000000000023803e+00,-6.814162353563813213e+01
4.075000000000024158e+00,-6.814499792408432199e+01
4.100000000000024514e+00,-6.814832901965672818e+01
4.125000000000024869e+00,-6.815161746318818814e+01
4.150000000000025224e+00,-6.815486388319136779e+01
4.175000000000025580e+00,-6.815806889619383924e+01
4.200000000000025935e+00,-6.816123310705981453e+01
4.225000000000026290e+00,-6.816435710929926017e+01
4.250000000000026645e+00,-6.816744148536518821e+01
4.275000000000027001e+00,-6.817048680693986284e+01
4.300000000000027356e+00,-6.817349363521034888e+01
4.325000000000027711e+00,-6.817646252113421212e+01
4.350000000000028066e+00,-6.817939400569571262e+01
4.375000000000028422e+00,-6.818228862015303093e+01
4.400000000000028777e+00,-6.818514688627705311e+01
4.425000000000029132e+00,-6.818796931658201288e+01
4.450000000000029488e+00,-6.819075641454845993e+01
4.475000000000029843e+00,-6.819350867483885281e+01
4.500000000000030198e+00,-6.819622658350621691e+01
4.525000000000030553e+00,-6.819891061819605227e+01
4.550000000000030909e+00,-6.820156124834184652e+01
4.575000000000031264e+00,-6.820417893535450560e+01
4.600000000000031619e+00,-6.820676413280592953e+01
4.625000000000031974e+00,-6.820931728660688975e+01
4.650000000000032330e+00,-6.821183883517963409e+01
4.675000000000032685e+00,-6.821432920962519120e+01
4.700000000000033040e+00,-6.821678883388582904e+01
4.725000000000033396e+00,-6.821921812490266745e+01
4.750000000000033751e+00,-6.822161749276867226e+01
4.775000000000034106e+00,-6.822398734087731498e+01
4.800000000000034461e+00,-6.822632806606688405e+01
4.825000000000034817e+00,-6.822864005876077442e+01
4.850000000000035172e+00,-6.823092370310376964e+01
4.875000000000035527e+00,-6.823317937709452963e+01
4.900000000000035882e+00,-6.823540745271441210e+01
4.925000000000036238e+00,-6.823760829605272704e+01
4.950000000000036593e+00,-6.823978226742859476e+01
4.975000000000036948e+00,-6.824192972150949288e+01
5.000000000000037303e+00,-6.824405100742656316e+01
5.025000000000037659e+00,-6.824614646888689151e+01
5.050000000000038014e+00,-6.824821644428276102e+01
5.075000000000038369e+00,-6.825026126679806282e+01
5.100000000000038725e+00,-6.825228126451186483e+01
5.125000000000039080e+00,-6.825427676049929460e+01
5.150000000000039435e+00,-6.825624807292984997e+01
5.175000000000039790e+00,-6.825819551516312345e+01
5.200000000000040146e+00,-6.826011939584212485e+01
5.225000000000040501e+00,-6.826202001898418814e+01
5.250000000000040856e+00,-6.826389768406961878e+01
5.275000000000041211e+00,-6.826575268612809566e+01
5.300000000000041567e+00,-6.826758531582292733e+01
5.325000000000041922e+00,-6.826939585953319067e+01
5.350000000000042277e+00,-6.827118459943389439e+01
5.375000000000042633e+00,-6.827295181357412446e+01
5.400000000000042988e+00,-6.827469777595332801e+01
5.425000000000043343e+00,-6.827642275659573556e+01
5.450000000000043698e+00,-6.827812702162296432e+01
5.475000000000044054e+00,-6.827981083332491608e+01
5.500000000000044409e+00,-6.828147445022898410e+01
5.525000000000044764e+00,-6.828311812716761153e+01
5.550000000000045119e+00,-6.828474211534425820e+01
5.575000000000045475e+00,-6.828634666239784679e+01
5.600000000000045830e+00,-6.828793201246567435e+01
5.625000000000046185e+00,-6.828949840624491685e+01
5.650000000000046541e+00,-6.829104608105265584e+01
5.675000000000046896e+00,-6.829257527088462609e+01
5.700000000000047251e+00,-6.829408620647251382e+01
5.725000000000047606e+00,-6.829557911534006109e+01
5.750000000000047962e+00,-6.829705422185787711e+01
5.775000000000048317e+00,-6.829851174729697050e+01
5.800000000000048672e+00,-6.829995190988120157e+01
5.825000000000049027e+00,-6.830137492483846984e+01
5.850000000000049383e+00,-6.830278100445084988e+01
5.875000000000049738e+00,-6.830417035810361881e+01
5.900000000000050093e+00,-6.830554319233317528e+01
5.925000000000050449e+00,-6.830689971087402057e+01
5.950000000000050804e+00,-6.830824011470460277e+01
5.975000000000051159e+00,-6.830956460209230841e+01
6.000000000000051514e+00,-6.831087336863743076e+01
6.025000000000051870e+00,-6.831216660731621459e+01
6.050000000000052225e+00,-6.831344450852304817e+01
6.075000000000052580e+00,-6.831470726011168892e+01
6.100000000000052935e+00,-6.831595504743572178e+01
6.125000000000053291e+00,-6.831718805338815059e+01
6.150000000000053646e+00,-6.831840645844017956e+01
6.175000000000054001e+00,-6.831961044067919886e+01
6.200000000000054357e+00,-6.832080017584600284e+01
6.225000000000054712e+00,-6.832197583737125512e+01
6.250000000000055067e+00,-6.832313759641128570e+01
6.275000000000055422e+00,-6.832428562188304966e+01
6.300000000000055778e+00,-6.832542008049853166e+01
6.325000000000056133e+00,-6.832654113679838304e+01
6.350000000000056488e+00,-6.832764895318491938e+01
6.375000000000056843e+00,-6.832874368995453551e+01
6.400000000000057199e+00,-6.832982550532938149e+01
6.425000000000057554e+00,-6.833089455548852698e+01
