adaptation_ratio_last_over_first_isi,ahp_mV,amplitude_nA,ap_amplitude_mV,ap_half_width_ms,ap_peak_mV,ap_threshold_mV,depolarization_block_flag,firing_rate_Hz,first_spike_latency_ms,input_capacitance_pF,isi_cv,last_spike_time_ms,late_step_mean_voltage_mV,max_dvdt_V_s,mean_isi_ms,post_step_recovery_error_mV,post_step_recovery_mean_mV,rin_MOhm,rmp_mV,spike_count,spontaneous_spike_count,steady_state_mV,tau_ms
,,-0.02,,,,,False,0.0,,291.3700288856234,,,-67.55201865769496,-1.7209174529790438e-07,,-0.0181457697789682,-65.92793573904271,82.11208301497948,-65.90978996926374,0,0,-67.55203162956333,23.924999999933277
,,0.0,,,,,False,0.0,,,,,-65.91639454088887,-6.913865036014927e-09,,-0.006605637209204929,-65.91639560647295,,-65.90978996926374,0,0,-65.9163950061376,
,,0.05,,,,,False,0.0,,282.09465773863445,,,-62.15264589508066,0.9637755665656539,,0.02021198109534339,-65.8895779881684,75.15207898611791,-65.90978996926374,0,0,-62.152186019957846,21.199999999935756
,,0.1,,,,,False,0.0,,276.86482691895515,,,-58.74342831509952,1.9276257549848221,,0.04308058965293071,-65.86670937961081,71.69563653438559,-65.90978996926374,0,0,-58.74022631582518,19.849999999936983
,,0.2,,,,,False,0.0,,277.69382361974374,,,-52.43980926869831,3.855326131823727,,0.07704820570977233,-65.83274176355397,67.52040702789645,-65.90978996926374,0,0,-52.40570856368445,18.749999999937984
,28.115300692978106,0.4,48.19486661531724,1.6406939399557814,20.680004314562133,-27.51486230075511,False,4.0,383.0499999999297,,,455.9000000001947,-42.3686892710505,64.69295524482698,72.85000000026503,0.10481481781877733,-65.80497515144496,,-65.90978996926374,2,0,-42.875415445058465,
0.6483600305140087,26.804660312457372,0.75,48.39674508568929,1.650132746774375,20.75924235999255,-27.637502725696734,False,30.0,149.4499999998191,,0.13508237735509598,482.1500000002902,-37.80858875121826,63.41200680000979,23.764285714319364,0.10721072428459877,-65.80257924497914,,-65.90978996926374,15,0,-37.176535949010805,
0.16398963730644522,27.966755934482915,1.0,50.9886660589774,1.6735970011341124,22.447889490936944,-28.54077656804046,False,46.0,14.12499999994219,,0.7746389293973457,486.6000000003064,-34.002955216360746,73.42304070251153,21.47613636365292,0.11342187816887872,-65.79636809109486,,-65.90978996926374,23,0,-33.880557277235475,
