voltage_mV,unblock_fraction
-80.0,0.024596901017901702
-70.0,0.044687124026214366
-60.0,0.07930596968208603
-50.0,0.1255966624427368
-40.0,0.17505268136667654
-30.0,0.2430009266182486
-20.0,0.3720752073421014
-10.0,0.7540402638180354
0.0,nan
10.0,-0.7671866606963244
20.0,-0.38603479596266593
