dt_ms,d_lambda,rmp_mV,rin_MOhm,tau_ms,capacitance_pF,recovery_error_mV,section_count,total_nseg,stage_gate_passed,result_directory,rin_relative_delta,tau_relative_delta,rmp_delta_mV,convergence_pass
0.05,0.2,-65.0,100.47387827402758,29.500000000035044,293.60865238602787,-0.004979829701795779,950,2452,True,results/23C/passive/convergence/dt_0p05__dlambda_0p2,0.0002081340332405999,0.0008481764243214705,0.0,True
0.05,0.1,-65.0,100.45297030539899,29.500000000035044,293.6697631772221,-0.004979806987535085,950,4176,True,results/23C/passive/convergence/dt_0p05__dlambda_0p1,-2.854154092662961e-09,0.0008481764243214705,0.0,True
0.05,0.05,-65.0,100.44735220055827,29.500000000035044,293.686188373924,-0.004979814259840509,950,7536,True,results/23C/passive/convergence/dt_0p05__dlambda_0p05,-5.593056647166687e-05,0.0008481764243214705,0.0,True
0.025,0.2,-65.0,100.4738785607401,29.449999999928252,293.1110097648381,-0.0049677384661208634,950,2452,True,results/23C/passive/convergence/dt_0p025__dlambda_0p2,0.00020813688743713288,-0.0008481764206967985,0.0,True
0.025,0.1,-65.0,100.45297059210725,29.47499999992823,293.42088965803197,-0.004967715825884511,950,4176,True,results/23C/passive/convergence/dt_0p025__dlambda_0p1,0.0,0.0,0.0,True
0.025,0.05,-65.0,100.44735248726937,29.47499999992823,293.43730093497356,-0.004967723078109998,950,7536,True,results/23C/passive/convergence/dt_0p025__dlambda_0p05,-5.592771228928066e-05,0.0,0.0,True
0.0125,0.2,-65.0,100.47387875712843,29.449999999859784,293.11100919123584,-0.004963991193960737,950,2452,True,results/23C/passive/convergence/dt_0p0125__dlambda_0p2,0.0002081388424647111,-0.0008481764230197128,0.0,True
0.0125,0.1,-65.0,100.452970788497,29.449999999859784,293.172016404239,-0.0049639685780249465,950,4176,True,results/23C/passive/convergence/dt_0p0125__dlambda_0p1,1.9550417249990992e-09,-0.0008481764230197128,0.0,True
0.0125,0.05,-65.0,100.44735268365628,29.449999999859784,293.1884137614667,-0.004963975823898181,950,7536,True,results/23C/passive/convergence/dt_0p0125__dlambda_0p05,-5.592575727584921e-05,-0.0008481764230197128,0.0,True
