density_S_per_cm2,valid,reject_reason,RMP_mV,Rin_GOhm,rheobase_pA,overshoot_mV,amplitude_mV,half_width_ms,first_spike_latency_ms,threshold_mV
0.0,True,,-72.43381570783832,0.8903992157422721,40,27.958160871525756,70.2635695740245,1.4499999999986812,118.42499999984733,-42.30540870249874
0.005,False,"rheobase 100 outside (20.0, 60.0)",-72.47830161986326,0.886289858306742,100,28.801825485589458,71.76356809730872,1.3999999999987267,55.79999999990429,-42.96174261171926
0.01,False,"rheobase 160 outside (20.0, 60.0)",-72.52153962778914,0.8822926198730116,160,29.44504394082095,72.76671622678344,1.324999999998795,36.84999999992152,-43.32167228596249
0.02,False,"rheobase 260 outside (20.0, 60.0)",-72.60450560579581,0.8746150574123476,260,31.679785757802847,75.60463339334223,1.1999999999989086,21.17499999993578,-43.92484763553938
0.04,False,"rheobase nan outside (20.0, 60.0)",-72.75785021190052,0.8604037404186926,nan,nan,nan,nan,nan,nan
