current_na,spike_count,firing_rate_hz,first_spike_latency_ms,last_spike_time_ms,mean_isi_ms,isi_cv,adaptation_ratio_last_over_first,tonic_persistence_fraction
0.0,0,0.0,,,,,,0.0
0.005,0,0.0,,,,,,0.0
0.01,0,0.0,,,,,,0.0
0.015,0,0.0,,,,,,0.0
0.02,0,0.0,,,,,,0.0
0.025,0,0.0,,,,,,0.0
0.03,0,0.0,,,,,,0.0
0.035,0,0.0,,,,,,0.0
0.04,1,2.0,44.14999999986941,44.14999999986941,,,,0.08829999999973881
0.045,6,12.0,37.599999999875365,439.27500000031614,80.33500000008816,0.0007810979283563603,1.0015581177982598,0.8785500000006323
0.05,7,14.0,33.09999999987946,459.45000000038954,71.05833333341835,0.0005745255651874113,1.0014089468168117,0.9189000000007791
0.06,8,16.0,26.999999999885006,441.3500000003237,59.19285714291981,0.0005294415588477892,1.0012684989474707,0.8827000000006474
0.07,10,20.0,22.94999999988869,486.42500000048767,51.49722222228878,0.0003795039455335701,1.0009718173028999,0.9728500000009753
0.08,11,22.0,19.999999999891372,480.07500000046457,46.00750000005732,0.00026248214538461773,1.0000000000045475,0.9601500000009291
0.09,12,24.0,17.774999999893396,478.3000000004581,41.86590909096043,0.0003012743481998816,1.0005973715696637,0.9566000000009163
0.1,13,26.0,15.99999999989501,479.4250000004622,38.618750000047264,0.0002927768351062171,1.0000000000045475,0.9588500000009245
0.12,15,30.0,13.374999999897398,487.1250000004902,33.83928571432806,0.00047740825358499563,0.9985239852443931,0.9742500000009804
0.14,17,34.0,11.52499999989908,499.15000000053396,30.47656250003968,0.0002050756210452946,0.9991803278733962,0.9983000000010679
0.16,18,36.0,10.124999999900353,485.60000000048467,27.969117647093196,0.0006725694724966777,0.9973238180241606,0.9712000000009693
0.18,19,38.0,9.024999999901354,477.450000000455,26.02361111114187,0.000838281140021524,0.9971264367861437,0.95490000000091
0.2,21,42.0,8.14999999990215,497.3750000005275,24.461250000031267,0.0009653157963754786,0.9959266802489282,0.9947500000010551
0.25,23,46.0,6.574999999903582,482.2500000004725,21.62159090911677,0.0011992495635842506,0.9953970080597625,0.9645000000009449
0.3,26,52.0,5.524999999904537,497.6750000005286,19.68600000002496,0.0015588025867390735,0.9924337957169973,0.9953500000010572
