current_pA,temperature_C,dt_ms,pre_step_voltage_mV,spike_count,first_spike_latency_ms,last_spike_time_from_onset_ms,spikes_first_100_ms,spikes_after_100_ms,firing_frequency_Hz,late_step_voltage_mV,peak_voltage_mV,recovery_voltage_mV,recovery_voltage_pass,recovery_test_spike_count,recovery_pass,classification
0.0,35.0,0.025,-59.940284015004565,0,,,0,0,0.0,-59.94010341267161,-59.94010341267087,-59.94010341267087,True,1,True,silent
14.0,35.0,0.025,-59.940284015004565,0,,,0,0,0.0,-53.3573489634521,-50.589353542009384,-59.7982355397036,True,1,True,silent
16.0,35.0,0.025,-59.940284015004565,0,,,0,0,0.0,-53.02671951305322,-48.81653570407939,-59.79967177573499,True,1,True,silent
17.0,35.0,0.025,-59.940284015004565,0,,,0,0,0.0,-52.87576355847272,-47.22533415255742,-59.80044798280596,True,1,True,silent
18.0,35.0,0.025,-59.940284015004565,1,25.24999999971942,25.24999999971942,1,0,1.0,-52.73295794815488,10.180102558113692,-59.80124863736654,True,1,True,single-spike
22.5,35.0,0.025,-59.940284015004565,1,17.59999999969159,17.59999999969159,1,0,1.0,-52.17096934036033,17.20441206119551,-59.80499532744931,True,1,True,single-spike
27.0,35.0,0.025,-59.940284015004565,1,14.324999999679676,14.324999999679676,1,0,1.0,-51.706369802214454,19.201180548223853,-59.80877741000125,True,1,True,single-spike
36.0,35.0,0.025,-59.940284015004565,1,10.724999999672434,10.724999999672434,1,0,1.0,-50.96274700712051,21.28725687601098,-59.81609493733845,True,1,True,single-spike
50.0,35.0,0.025,-59.940284015004565,1,7.874999999675026,7.874999999675026,1,0,1.0,-50.09627684867973,22.99260307779726,-59.82669251078523,True,1,True,single-spike
