grid,BA_density,KDR_scale,soma_BNa,valid,reject_reason,RMP_mV,Rin_GOhm,rheobase_pA,overshoot_mV,half_width_ms,amplitude_mV,n_ap_targets_failed,total_ap_error,overshoot_err,half_width_err,amplitude_err
approachA_full_axon,0.0,1.0,0.04,True,,-72.42415129980134,0.8912712109306838,20,25.352887731053862,1.7249999999984311,66.98941352081602,2,2.542989976558855,0.0,2.166666666660857,0.3763233098979981
approachA_full_axon,0.0,1.0,0.05,True,,-72.39790713294498,0.8932639479346136,20,29.7980773907485,1.6499999999984993,72.24318904851742,1,1.888888888883332,0.0,1.888888888883332,0.0
approachA_full_axon,0.0,1.0,0.06,True,,-72.37140166470272,0.8952764909834159,20,33.22601236593174,1.5749999999985675,76.1733682086186,2,1.7401516057430761,0.1290404946372695,1.6111111111058067,0.0
approachA_full_axon,0.0,1.5,0.04,True,,-72.42898934965604,0.8908347289223684,40,28.46665669037329,1.5749999999985675,71.06176698456227,1,1.6111111111058067,0.0,1.6111111111058067,0.0
approachA_full_axon,0.0,1.5,0.05,True,,-72.40279936513517,0.8928230914347466,20,28.338347591702874,1.4749999999986585,70.29143885300958,1,1.240740740735773,0.0,1.240740740735773,0.0
approachA_full_axon,0.0,1.5,0.06,True,,-72.37634934757358,0.8948311746113319,20,32.381650608493096,1.424999999998704,75.04716437956921,2,1.15082157989048,0.09526602433972385,1.055555555550756,0.0
approachA_full_axon,0.0,2.0,0.04,True,,-72.43381570783832,0.8903992157422721,40,27.958160871525756,1.4499999999986812,70.2635695740245,1,1.1481481481432645,0.0,1.1481481481432645,0.0
approachA_full_axon,0.0,2.0,0.05,True,,-72.40767957260914,0.8923832279234191,40,31.948536662874705,1.424999999998704,74.93666482780905,2,1.1334970220657443,0.0779414665149882,1.055555555550756,0.0
approachA_full_axon,0.0,2.0,0.06,True,,-72.38128467516403,0.8943868747288505,20,30.81472007436068,1.3499999999987722,73.15444651940987,2,0.8103665807476581,0.03258880297442715,0.777777777773231,0.0
approachA_full_axon,0.005,1.0,0.04,False,"rheobase 80 outside (20.0, 60.0)",-72.46887260712373,0.8871414559693832,80,24.16748051401279,1.5749999999985675,65.89222721246246,2,2.124582709547999,0.0,1.6111111111058067,0.5134715984421927
approachA_full_axon,0.005,1.0,0.05,True,,-72.44322768308,0.889082556260469,60,22.48165929952838,1.5750000000057298,63.08109382898886,2,2.475974382508726,0.0,1.6111111111323335,0.8648632713763922
approachA_full_axon,0.005,1.0,0.06,True,,-72.41733333257058,0.891042604657774,60,30.004532981209557,1.4749999999986585,72.16988370379781,2,1.2409220599841553,0.0001813192483822945,1.240740740735773,0.0
approachA_full_axon,0.005,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.47359260096678,0.8867152005141321,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.005,1.5,0.05,False,"rheobase 80 outside (20.0, 60.0)",-72.44799888871202,0.8886521507324886,80,30.292445943264912,1.424999999998704,72.97542831546403,2,1.0672533932813526,0.01169783773059649,1.055555555550756,0.0
