adaptation_ratio_last_over_first_isi,ahp_mV,amplitude_nA,ap_amplitude_mV,ap_half_width_ms,ap_peak_mV,ap_threshold_mV,depolarization_block_flag,firing_rate_Hz,first_spike_latency_ms,input_capacitance_pF,isi_cv,last_spike_time_ms,late_step_mean_voltage_mV,max_dvdt_V_s,mean_isi_ms,post_step_recovery_error_mV,post_step_recovery_mean_mV,rin_MOhm,rmp_mV,spike_count,spontaneous_spike_count,steady_state_mV,tau_ms
,,0.45,,,,,False,0.0,,557.7089072065049,,,-37.3008504308208,44.476659571952254,,0.03961947009825906,-65.9980724521824,63.92223530838497,-66.03769192228066,0,0,-37.27268603350742,35.65000000003644
,,0.55,,,,,False,0.0,,458.8358346316891,,,-35.90559862367316,47.2626201256659,,0.039469940839751416,-65.9982219814409,53.831889612241866,-66.03769192228066,0,0,-36.43015263554763,24.700000000033953
,,0.75,,,,,False,0.0,,340.8834659021386,,,-33.862132632172965,51.339262048985624,,0.04232178837030176,-65.99537013391036,43.12324143128661,-66.03769192228066,0,0,-33.6952608488157,14.700000000031679
