g_pas,baseline_mV,steady_mV,Rin_MOhm
1e-06,-65.0,-84.50098730253914,975.0493651269572
1.5e-06,-65.0,-82.69225867445947,884.6129337229734
2e-06,-65.0,-81.11779069037452,805.889534518726
2.5e-06,-65.0,-79.74290863058191,737.1454315290954
3e-06,-65.0,-78.53846136115547,676.9230680577734
3.5e-06,-65.0,-77.4798991593518,623.9949579675902
4e-06,-65.0,-76.54651064811402,577.3255324057011
5e-06,-65.0,-74.987916279332,499.39581396659986
6e-06,-65.0,-73.75228446383795,437.6142231918976
