voltage_mV,unblock_fraction
-80.0,0.02459704821610396
-70.0,0.04469147792101683
-60.0,0.07936926080708291
-50.0,0.12596322223624917
-40.0,0.17564098744463397
-30.0,0.24374162108854094
-20.0,0.37311537342027346
-10.0,0.7558963972264249
0.0,nan
10.0,-0.769188353073969
20.0,-0.3871236225037603
