holding_mV,peak_NMDA_current_nA
-80.0,-0.0018893488774962244
-70.0,-0.0030034625748793617
-60.0,-0.0045687591895937265
-50.0,-0.006029557950389848
-40.0,-0.006723105039575031
-30.0,-0.00699956469003948
-20.0,-0.007145005630485558
-10.0,-0.007239963620633119
0.0,-0.007309975466158949
10.0,-0.0073661895527329276
20.0,-0.007413073314988625
