variant,section,mechanism,parameter,old_value,new_value
A_final_as_is,dend[42],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[43],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[44],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[44],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[44],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[45],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[45],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[45],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[46],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[46],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[46],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[47],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[48],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[49],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[49],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[49],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[50],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[51],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[52],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[53],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[54],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[55],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[55],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[55],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[56],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[57],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[58],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[59],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[60],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[61],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[62],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[63],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[64],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[65],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[67],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[67],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[67],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
A_final_as_is,dend[68],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.7500000000000003e-05
