variant,section,mechanism,parameter,old_value,new_value
B_CaL_ModelDB_scale_1p0,dend[35],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[36],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[37],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[38],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[38],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[38],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[39],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[40],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[41],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[42],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[42],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[42],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[43],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[44],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[44],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[44],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[45],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[45],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[45],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[46],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[46],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[46],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[47],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[48],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[49],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[49],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[49],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[50],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[51],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[52],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[53],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[54],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[55],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[55],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[55],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[56],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
