time_ms,voltage_mV
0.0,-72.8
0.025,-72.79972506414245
0.05,-72.79947898030147
0.075,-72.79925245612228
0.09999999999999999,-72.79903943036211
0.12499999999999999,-72.79883649339692
0.15,-72.79864154390833
0.17500000000000002,-72.79845317756278
0.20000000000000004,-72.79827039629474
0.22500000000000006,-72.7980924560427
0.25000000000000006,-72.79791878074975
0.2750000000000001,-72.79774891084493
0.3000000000000001,-72.79758247081291
0.3250000000000001,-72.79741914787056
0.35000000000000014,-72.79725867739245
0.37500000000000017,-72.79710083260218
0.4000000000000002,-72.79694541705925
0.4250000000000002,-72.79679225904007
0.45000000000000023,-72.7966412072411
0.47500000000000026,-72.79649212742986
0.5000000000000002,-72.79634489979189
0.5250000000000001,-72.79619941679918
0.55,-72.79605558147644
0.575,-72.79591330597582
0.5999999999999999,-72.79577251039414
0.6249999999999998,-72.79563312178294
0.6499999999999997,-72.79549507331359
0.6749999999999996,-72.79535830356852
0.6999999999999995,-72.7952227559355
0.7249999999999994,-72.79508837808724
0.7499999999999993,-72.79495512153174
0.7749999999999992,-72.79482294122204
0.7999999999999992,-72.79469179521583
0.8249999999999991,-72.7945616443775
0.849999999999999,-72.79443245211603
0.8749999999999989,-72.79430418415383
0.8999999999999988,-72.79417680832202
0.9249999999999987,-72.79405029437852
0.9499999999999986,-72.79392461384599
0.9749999999999985,-72.79379973986694
0.9999999999999984,-72.79367564707398
1.0249999999999984,-72.79355231147312
1.0499999999999983,-72.79342971033864
1.0749999999999982,-72.79330782211831
1.099999999999998,-72.79318662634736
1.124999999999998,-72.79306610357074
1.149999999999998,-72.79294623527218
1.1749999999999978,-72.7928270038098
1.1999999999999977,-72.79270839235723
1.2249999999999976,-72.79259038484979
1.2499999999999976,-72.79247296593532
1.2749999999999975,-72.79235612092887
1.2999999999999974,-72.79223983577128
1.3249999999999973,-72.79212409699092
1.3499999999999972,-72.79200889166842
1.3749999999999971,-72.79189420740424
1.399999999999997,-72.79178003228854
1.424999999999997,-72.79166635487339
1.4499999999999968,-72.79155316414692
1.4749999999999968,-72.79144044950947
1.4999999999999967,-72.79132820075124
1.5249999999999966,-72.79121640803164
1.5499999999999965,-72.79110506186002
1.5749999999999964,-72.79099415307763
1.5999999999999963,-72.79088367284088
1.6249999999999962,-72.79077361260558
1.6499999999999961,-72.79066396411231
1.674999999999996,-72.79055471937268
1.699999999999996,-72.79044587065636
1.7249999999999959,-72.79033741047904
1.7499999999999958,-72.79022933159105
1.7749999999999957,-72.79012162696667
1.7999999999999956,-72.79001428979409
1.8249999999999955,-72.7899073134659
1.8499999999999954,-72.78980069157025
1.8749999999999953,-72.78969441788233
1.8999999999999952,-72.78958848635651
1.9249999999999952,-72.78948289111878
1.949999999999995,-72.78937762645968
1.974999999999995,-72.78927268682759
1.999999999999995,-72.78916806682233
2.024999999999995,-72.78906376118918
2.0499999999999954,-72.78895976481317
2.0749999999999957,-72.78885607271363
2.099999999999996,-72.78875268003908
2.1249999999999964,-72.78864958206233
2.149999999999997,-72.78854677417584
2.174999999999997,-72.7884442518873
2.1999999999999975,-72.78834201081543
2.224999999999998,-72.78824004668598
2.2499999999999982,-72.78813835532796
2.2749999999999986,-72.78803693266991
2.299999999999999,-72.78793577473654
2.3249999999999993,-72.78783487764535
2.3499999999999996,-72.78773423760354
2.375,-72.78763385090494
2.4000000000000004,-72.78753371392713
2.4250000000000007,-72.78743382312877
2.450000000000001,-72.78733417504685
2.4750000000000014,-72.78723476629425
2.5000000000000018,-72.7871355935573
2.525000000000002,-72.78703665359346
2.5500000000000025,-72.78693794322915
2.575000000000003,-72.78683945935757
2.600000000000003,-72.78674119893668
