time_ms,voltage_mV
0.0,-72.8
0.025,-72.79972130630838
0.05,-72.79947183371866
0.075,-72.79924211883008
0.09999999999999999,-72.79902603303162
0.12499999999999999,-72.79882013167217
0.15,-72.7986222924215
0.17500000000000002,-72.79843109718513
0.20000000000000004,-72.79824553828463
0.22500000000000006,-72.79806486459148
0.25000000000000006,-72.79788849463635
0.2750000000000001,-72.79771596456534
0.3000000000000001,-72.79754689538471
0.3250000000000001,-72.7973809714272
0.35000000000000014,-72.79721792563575
0.37500000000000017,-72.79705752915574
0.4000000000000002,-72.79689958375042
0.4250000000000002,-72.79674391612878
0.45000000000000023,-72.79659037360834
0.47500000000000026,-72.79643882073493
0.5000000000000002,-72.79628913660488
0.5250000000000001,-72.79614121271369
0.55,-72.79599495120621
0.575,-72.79585026343831
0.5999999999999999,-72.79570706878307
0.6249999999999998,-72.79556529363178
0.6499999999999997,-72.7954248705514
0.6749999999999996,-72.79528573756926
0.6999999999999995,-72.79514783756179
0.7249999999999994,-72.79501111772936
0.7499999999999993,-72.79487552914254
0.7749999999999992,-72.79474102634826
0.7999999999999992,-72.79460756702636
0.8249999999999991,-72.79447511168881
0.849999999999999,-72.79434362341536
0.8749999999999989,-72.79421306762019
0.8999999999999988,-72.79408341184534
0.9249999999999987,-72.79395462557714
0.9499999999999986,-72.79382668008269
0.9749999999999985,-72.79369954826367
0.9999999999999984,-72.79357320452536
1.0249999999999984,-72.79344762465888
1.0499999999999983,-72.79332278573521
1.0749999999999982,-72.79319866600939
1.099999999999998,-72.79307524483384
1.124999999999998,-72.79295250257982
1.149999999999998,-72.79283042056593
1.1749999999999978,-72.79270898099304
1.1999999999999977,-72.79258816688494
1.2249999999999976,-72.79246796203407
1.2499999999999976,-72.79234835095173
1.2749999999999975,-72.7922293188226
1.2999999999999974,-72.79211085146275
1.3249999999999973,-72.79199293528109
1.3499999999999972,-72.79187555724383
1.3749999999999971,-72.79175870484167
1.399999999999997,-72.79164236605948
1.424999999999997,-72.79152652934818
1.4499999999999968,-72.79141118359873
1.4749999999999968,-72.79129631811797
1.4999999999999967,-72.79118192260617
1.5249999999999966,-72.79106798713612
1.5499999999999965,-72.79095450213369
1.5749999999999964,-72.79084145835965
1.5999999999999963,-72.79072884689278
1.6249999999999962,-72.79061665911395
1.6499999999999961,-72.79050488669138
1.674999999999996,-72.79039352156671
1.699999999999996,-72.790282555942
1.7249999999999959,-72.79017198226751
1.7499999999999958,-72.79006179323028
1.7749999999999957,-72.78995198174326
1.7999999999999956,-72.78984254093525
1.8249999999999955,-72.78973346414132
1.8499999999999954,-72.78962474489377
1.8749999999999953,-72.78951637691368
1.8999999999999952,-72.78940835410287
1.9249999999999952,-72.78930067053633
1.949999999999995,-72.78919332045507
1.974999999999995,-72.7890862982593
1.999999999999995,-72.7889795985021
2.024999999999995,-72.78887321588323
2.0499999999999954,-72.78876714524348
2.0749999999999957,-72.78866138155915
2.099999999999996,-72.78855591993683
2.1249999999999964,-72.78845075560851
2.149999999999997,-72.78834588392691
2.174999999999997,-72.78824130036101
2.1999999999999975,-72.78813700049176
2.224999999999998,-72.78803298000814
2.2499999999999982,-72.78792923470323
2.2749999999999986,-72.7878257604706
2.299999999999999,-72.78772255330077
2.3249999999999993,-72.78761960927791
2.3499999999999996,-72.78751692457666
2.375,-72.78741449545905
2.4000000000000004,-72.78731231827162
2.4250000000000007,-72.78721038944263
2.450000000000001,-72.78710870547947
2.4750000000000014,-72.78700726296599
