spike_no,soma_cross_-20mV_ms,ais_cross_-20mV_ms,AIS_leads_soma_by_ms,soma_peak_mV,ais_peak_mV,AIS_minus_soma_peak_mV,soma_peak_time_ms,ais_peak_time_ms
1,192.2943734710628,192.05778512988502,0.23658834117779293,3.313439,17.652557,14.339118000000003,192.975,192.55
2,317.99284062464017,317.7511670695597,0.2416735550804674,2.42801,16.396524,13.968513999999999,318.675,318.25
3,444.7550878082364,444.51281870924794,0.2422690989884586,2.38056,16.337103,13.956543,445.425,445.0
4,571.8954978134111,571.6533749737414,0.24212283966971881,2.37398,16.322539,13.948559,572.575,572.15
