variant,CaL_operation,CaL_factor,CaL_params_changed,iNaP_operation,iNaP_params_changed,RMP_mV,Rin_GOhm,spontaneous_at_0pA,rheobase_pA,spikes_0pA,spikes_20pA,spikes_40pA,spikes_60pA,spikes_80pA,spikes_100pA,spikes_120pA,threshold_mV,peak_mV,overshoot_mV,amplitude_mV,half_width_ms,AHP_min_mV,first_spike_latency_ms,pass_RMP,pass_Rin,pass_no_spontaneous,pass_rheobase,pass_overshoot,pass_amplitude,required_pass_count,required_pass_all
A_final_as_is,none,,380,none,1,-72.59293849676733,0.6842478166890898,False,100.0,0,0,0,0,0,1,8,-42.93873324943905,20.838690240529463,20.838690240529463,63.77742348996851,0.6749999999993861,-78.34195819586313,149.42499999991009,True,True,True,False,True,False,4,False
B_CaL_ModelDB_scale_1p0,scale,0.8,380,none,1,-72.59777303023638,0.684669774844241,False,100.0,0,0,0,0,0,1,8,-42.86828397672894,20.773622351365624,20.773622351365624,63.641906328094564,0.6499999999994088,-78.43697597814915,149.57499999990995,True,True,True,False,True,False,4,False
C_CaL_removed,zero,,380,none,1,-72.61706225489499,0.6863281643779061,False,100.0,0,0,0,0,0,1,8,-43.0094642554781,20.478047301035588,20.478047301035588,63.48751155651369,0.6499999999994088,-78.92016234551791,150.14999999990943,True,True,True,False,True,False,4,False
D_iNaP_removed,none,,380,zero,1,-72.6420137677735,0.6871290721535417,False,100.0,0,0,0,0,0,1,1,-42.651250561649746,19.659536785518934,19.659536785518934,62.310787347168684,0.6749999999993861,-78.28241578337345,152.19999999990756,True,True,True,False,True,False,4,False
E_CaL_and_iNaP_removed,zero,,380,zero,1,-72.66586369071709,0.6890748832351462,False,100.0,0,0,0,0,0,1,1,-42.526998059305555,19.195463395605444,19.195463395605444,61.722461454911,0.6499999999994088,-78.83409416203676,153.17499999990667,True,True,True,False,True,False,4,False
