spike_no,soma_cross_-20mV_ms,ais_cross_-20mV_ms,AIS_leads_soma_by_ms,soma_peak_mV,ais_peak_mV,AIS_minus_soma_peak_mV,soma_peak_time_ms,ais_peak_time_ms
1,167.95857106907204,167.73183239936193,0.2267386697101017,5.004658,20.159855,15.155197000000001,168.625,168.2
2,269.3023354826759,269.0657629605966,0.23657252207931379,3.248956,17.648205,14.399249000000001,269.975,269.55
3,370.8884633918081,370.6517981369691,0.23666525483901069,3.190061,17.567341,14.377279999999999,371.55,371.125
4,472.71511554778976,472.4783381251382,0.23677742265158486,3.183107,17.557284,14.374177,473.375,472.95
5,574.6068804714546,574.3700219861894,0.23685848526520203,3.184611,17.561583,14.376971999999999,575.275,574.85
