spike_no,soma_cross_-20mV_ms,ais_cross_-20mV_ms,AIS_leads_soma_by_ms,soma_peak_mV,ais_peak_mV,AIS_minus_soma_peak_mV,soma_peak_time_ms,ais_peak_time_ms
1,144.44039895181632,144.22593012611864,0.21446882569767922,7.25769,23.440836,16.183146,145.1,144.675
2,222.00439081545895,221.77042010534095,0.23397071011800108,3.533627,18.123818,14.590191,222.675,222.25
3,298.6042359176502,298.36949947834046,0.2347364393097564,3.409725,17.943744,14.534018999999999,299.275,298.85
4,375.211210984794,374.97661217325606,0.2345988115379214,3.403695,17.935725,14.532030000000002,375.875,375.45
5,451.81942699872377,451.58455734456567,0.23486965415810346,3.399353,17.922773,14.52342,452.475,452.05
6,528.4277574984711,528.1929232550441,0.23483424342703074,3.400631,17.932017,14.531385999999998,529.1,528.675
7,622.3576238236242,622.0876324171395,0.269991406484678,-1.378506,11.23472,12.613226,623.05,622.625
