spike_no,soma_cross_-20mV_ms,ais_cross_-20mV_ms,AIS_leads_soma_by_ms,soma_peak_mV,ais_peak_mV,AIS_minus_soma_peak_mV,soma_peak_time_ms,ais_peak_time_ms
1,153.76936173751295,153.5498298921707,0.2195318453422601,6.270051,22.014692,15.744641000000001,154.425,154.0
2,240.810670703645,240.57648104111522,0.23418966252978635,3.540175,18.108241,14.568066,241.475,241.05
3,327.401859034029,327.16693672108266,0.23492231294630983,3.459067,17.992152,14.533085,328.075,327.65
4,414.0989879568906,413.8639985809198,0.23498937597076974,3.453417,17.983725,14.530308,414.775,414.35
5,500.8287583568247,500.593845389749,0.23491296707572928,3.453596,17.986853,14.533256999999999,501.5,501.075
6,587.568509406871,587.3335477567563,0.23496165011476933,3.450513,17.978173,14.527660000000001,588.225,587.8
