condition,temperature_C,current_pA,time_ms,voltage_mV
reference_rheobase_20pA,23.0,20.0,8.500000000000052,-59.429179848678764
reference_rheobase_20pA,23.0,20.0,8.600000000000046,-59.42438494678136
reference_rheobase_20pA,23.0,20.0,8.70000000000004,-59.41963046551281
reference_rheobase_20pA,23.0,20.0,8.800000000000034,-59.41491622830781
reference_rheobase_20pA,23.0,20.0,8.900000000000029,-59.41024205737568
reference_rheobase_20pA,23.0,20.0,9.000000000000023,-59.40560777374005
reference_rheobase_20pA,23.0,20.0,9.100000000000017,-59.40101319727761
reference_rheobase_20pA,23.0,20.0,9.200000000000012,-59.39645814675612
reference_rheobase_20pA,23.0,20.0,9.300000000000006,-59.39194243987165
reference_rheobase_20pA,23.0,20.0,9.4,-59.38746589328502
reference_rheobase_20pA,23.0,20.0,9.499999999999995,-59.383028322657594
reference_rheobase_20pA,23.0,20.0,9.599999999999989,-59.37862954268631
reference_rheobase_20pA,23.0,20.0,9.699999999999983,-59.37426936713812
reference_rheobase_20pA,23.0,20.0,9.799999999999978,-59.36994760888372
reference_rheobase_20pA,23.0,20.0,9.899999999999972,-59.36566407993076
reference_rheobase_20pA,23.0,20.0,9.999999999999966,-59.36141859145634
reference_rheobase_20pA,23.0,20.0,10.09999999999996,-59.35721095383903
reference_rheobase_20pA,23.0,20.0,10.199999999999955,-59.353040976690274
reference_rheobase_20pA,23.0,20.0,10.29999999999995,-59.34890846888529
reference_rheobase_20pA,23.0,20.0,10.399999999999944,-59.34481323859343
reference_rheobase_20pA,23.0,20.0,10.499999999999938,-59.340755093308054
reference_rheobase_20pA,23.0,20.0,10.599999999999932,-59.336733839875876
reference_rheobase_20pA,23.0,20.0,10.699999999999926,-59.332749284525896
reference_rheobase_20pA,23.0,20.0,10.79999999999992,-59.32880123289779
reference_rheobase_20pA,23.0,20.0,10.899999999999915,-59.32488949006992
reference_rheobase_20pA,23.0,20.0,10.99999999999991,-59.32101386058689
