adaptation_ratio_last_over_first_isi,ahp_mV,amplitude_nA,ap_amplitude_mV,ap_half_width_ms,ap_peak_mV,ap_threshold_mV,depolarization_block_flag,firing_rate_Hz,first_spike_latency_ms,input_capacitance_pF,isi_cv,last_spike_time_ms,late_step_mean_voltage_mV,max_dvdt_V_s,mean_isi_ms,post_step_recovery_error_mV,post_step_recovery_mean_mV,rin_MOhm,rmp_mV,spike_count,spontaneous_spike_count,steady_state_mV,tau_ms
,,0.36,,,,,False,0.0,,1564.01099842781,,,-40.48161397872768,6.939646734766201,,-0.006182421340042765,-65.91597239060378,72.26611584795012,-65.90978996926374,0,0,-39.8939882640017,113.02499999985224
,,0.37,,,,,False,0.0,,1847.4033960493648,,,-38.992097595208655,7.132416772450036,,-0.006174232722614192,-65.91596420198636,75.24074075920686,-65.90978996926374,0,0,-38.070715888357206,138.99999999982862
,28.207839307483788,0.38,47.4250254399751,1.634869081104398,20.013146353205567,-27.41187908676953,False,2.0,450.3750000001746,,,450.3750000001746,-40.795222454861054,60.6957137863954,,-0.006199149973667772,-65.91598911923741,,-65.90978996926374,1,0,-43.82759390206031,
,28.159418460435184,0.39,47.889053387677976,1.6383362474398382,20.41407543824105,-27.474977949436926,False,4.0,412.15000000003556,,,496.2750000003416,-39.48454090723094,63.0778824182806,84.12500000030604,-0.006339389992987776,-65.91612935925673,,-65.90978996926374,2,0,-36.837146310414184,
