time_ms soma_mV ais_mV
4.675000 -72.787035 -72.786362
4.700000 -72.786981 -72.786308
4.725000 -72.786927 -72.786254
4.750000 -72.786872 -72.786199
4.775000 -72.786818 -72.786145
4.800000 -72.786764 -72.786091
4.825000 -72.786710 -72.786036
4.850000 -72.786656 -72.785982
4.875000 -72.786601 -72.785928
4.900000 -72.786547 -72.785874
4.925000 -72.786493 -72.785820
4.950000 -72.786440 -72.785766
4.975000 -72.786386 -72.785712
5.000000 -72.786332 -72.785658
5.025000 -72.786278 -72.785605
5.050000 -72.786224 -72.785551
5.075000 -72.786171 -72.785497
5.100000 -72.786117 -72.785444
5.125000 -72.786063 -72.785390
5.150000 -72.786010 -72.785336
5.175000 -72.785956 -72.785283
5.200000 -72.785903 -72.785229
5.225000 -72.785849 -72.785176
5.250000 -72.785796 -72.785123
5.275000 -72.785743 -72.785069
5.300000 -72.785689 -72.785016
5.325000 -72.785636 -72.784963
5.350000 -72.785583 -72.784909
5.375000 -72.785530 -72.784856
5.400000 -72.785477 -72.784803
5.425000 -72.785423 -72.784750
5.450000 -72.785370 -72.784697
5.475000 -72.785317 -72.784644
5.500000 -72.785264 -72.784591
5.525000 -72.785212 -72.784538
5.550000 -72.785159 -72.784485
5.575000 -72.785106 -72.784432
5.600000 -72.785053 -72.784379
5.625000 -72.785000 -72.784327
5.650000 -72.784948 -72.784274
5.675000 -72.784895 -72.784221
5.700000 -72.784842 -72.784169
5.725000 -72.784790 -72.784116
5.750000 -72.784737 -72.784063
5.775000 -72.784685 -72.784011
5.800000 -72.784632 -72.783958
5.825000 -72.784580 -72.783906
5.850000 -72.784527 -72.783853
5.875000 -72.784475 -72.783801
5.900000 -72.784422 -72.783749
5.925000 -72.784370 -72.783696
5.950000 -72.784318 -72.783644
5.975000 -72.784266 -72.783592
6.000000 -72.784213 -72.783540
6.025000 -72.784161 -72.783487
6.050000 -72.784109 -72.783435
6.075000 -72.784057 -72.783383
6.100000 -72.784005 -72.783331
6.125000 -72.783953 -72.783279
6.150000 -72.783901 -72.783227
6.175000 -72.783849 -72.783175
6.200000 -72.783797 -72.783123
6.225000 -72.783745 -72.783071
6.250000 -72.783693 -72.783019
6.275000 -72.783641 -72.782967
6.300000 -72.783589 -72.782915
6.325000 -72.783538 -72.782864
6.350000 -72.783486 -72.782812
6.375000 -72.783434 -72.782760
6.400000 -72.783383 -72.782709
6.425000 -72.783331 -72.782657
6.450000 -72.783279 -72.782605
6.475000 -72.783228 -72.782554
6.500000 -72.783176 -72.782502
6.525000 -72.783125 -72.782450
6.550000 -72.783073 -72.782399
6.575000 -72.783022 -72.782347
6.600000 -72.782970 -72.782296
6.625000 -72.782919 -72.782245
6.650000 -72.782867 -72.782193
6.675000 -72.782816 -72.782142
6.700000 -72.782765 -72.782091
6.725000 -72.782713 -72.782039
6.750000 -72.782662 -72.781988
6.775000 -72.782611 -72.781937
6.800000 -72.782560 -72.781885
6.825000 -72.782509 -72.781834
6.850000 -72.782457 -72.781783
6.875000 -72.782406 -72.781732
6.900000 -72.782355 -72.781681
6.925000 -72.782304 -72.781630
6.950000 -72.782253 -72.781579
6.975000 -72.782202 -72.781528
7.000000 -72.782151 -72.781477
7.025000 -72.782100 -72.781426
7.050000 -72.782049 -72.781375
7.075000 -72.781998 -72.781324
7.100000 -72.781947 -72.781273
7.125000 -72.781896 -72.781222
7.150000 -72.781846 -72.781171
7.175000 -72.781795 -72.781120
7.200000 -72.781744 -72.781070
7.225000 -72.781693 -72.781019
7.250000 -72.781642 -72.780968
7.275000 -72.781592 -72.780917
7.300000 -72.781541 -72.780867
7.325000 -72.781490 -72.780816
7.350000 -72.781440 -72.780765
7.375000 -72.781389 -72.780715
7.400000 -72.781339 -72.780664
7.425000 -72.781288 -72.780613
7.450000 -72.781237 -72.780563
7.475000 -72.781187 -72.780512
7.500000 -72.781136 -72.780462
7.525000 -72.781086 -72.780411
7.550000 -72.781035 -72.780361
7.575000 -72.780985 -72.780310
7.600000 -72.780935 -72.780260
7.625000 -72.780884 -72.780210
7.650000 -72.780834 -72.780159
7.675000 -72.780784 -72.780109
7.700000 -72.780733 -72.780059
7.725000 -72.780683 -72.780008
7.750000 -72.780633 -72.779958
7.775000 -72.780582 -72.779908
7.800000 -72.780532 -72.779857
7.825000 -72.780482 -72.779807
7.850000 -72.780432 -72.779757
7.875000 -72.780382 -72.779707
7.900000 -72.780332 -72.779657
7.925000 -72.780281 -72.779607
7.950000 -72.780231 -72.779556
7.975000 -72.780181 -72.779506
8.000000 -72.780131 -72.779456
8.025000 -72.780081 -72.779406
8.050000 -72.780031 -72.779356
8.075000 -72.779981 -72.779306
8.100000 -72.779931 -72.779256
8.125000 -72.779881 -72.779206
8.150000 -72.779831 -72.779156
8.175000 -72.779781 -72.779106
8.200000 -72.779731 -72.779057
