score,current_nA,BNa_scale,KDR_scale,KCa_scale,CaL_scale,rest_0nA_AIS_spike_count,rest_0nA_max_AIS_mV,rest_soma_mV,rest_AIS_mV,max_soma_mV,max_AIS_mV,plateau_soma_mV,plateau_AIS_mV,recovery_soma_mV,recovery_AIS_mV,AIS_spike_count,soma_spike_count,AIS_first_latency_ms,min_soma_mV,min_AIS_mV
239.1042001411173,0.06,1.25,0.75,0.0,0.5,0,-72.33153042507347,-72.6723298772052,-72.6716322355301,0.12357298224993919,12.906684099730999,-48.49037615732333,-47.6913007118085,-72.92872462245435,-72.9280797751763,4,4,98.24999999995663,-72.63354441652974,-72.632838718858
239.08581055686332,0.06,1.25,0.75,0.5,0.5,0,-72.33155702177686,-72.67233668286302,-72.6716390424577,0.12357514866038782,12.906805437413642,-48.493352351667,-47.69391605793379,-72.93793642872589,-72.93729338740022,4,4,98.24999999995663,-72.63355340912933,-72.63284771319196
239.06755515210685,0.06,1.25,0.75,1.0,0.5,0,-72.33158361840559,-72.67234348851765,-72.67164584938213,0.1235749264483838,12.90692207800923,-48.49715388069118,-47.69735236528195,-72.94708114524072,-72.94643988099865,4,4,98.24999999995663,-72.63356240172345,-72.63285670752046
239.03148995190148,0.06,1.25,0.75,2.0,0.5,0,-72.33163681143861,-72.67235709981743,-72.67165946322146,0.12356894995267363,12.907142853241139,-48.50727209285356,-47.706737774831254,-72.96514777359285,-72.96450997442606,4,4,98.24999999995663,-72.63358038689492,-72.63287469616066
239.02346205148143,0.06,1.5,1.0,0.5,1.0,0,-72.26269285190199,-72.6549837778478,-72.65414196166567,3.388273454184268,18.07152304971747,-51.7184712635681,-50.9306779887869,-72.92572841887879,-72.92495284528779,4,4,93.14999999996127,-72.6107938417226,-72.60994097835197
239.022231129797,0.06,1.25,0.75,0.0,1.0,0,-72.2915927542609,-72.66228921282072,-72.66158969333931,0.2299394514432744,13.048978860097682,-48.41301538961975,-47.615903204362986,-72.9446074671533,-72.94396592919327,4,4,97.52499999995729,-72.62032190763978,-72.61961365574884
238.9609920352754,0.06,1.25,0.75,4.0,0.5,0,-72.331743196607,-72.6723843223788,-72.6716866908619,0.12354144860503591,12.90752396891224,-48.538263298456876,-47.73624495359277,-73.00046478830932,-72.99983358907402,4,4,98.24999999995663,-72.63361635717067,-72.63291067337384
238.88514076485126,0.06,1.25,0.25,1.0,1.0,0,-72.28017017666014,-72.65980891530874,-72.65910875289376,0.9030534230735262,13.731484371820915,-58.22018611729056,-58.169391073724654,-73.00695190584624,-73.0063197389141,3,3,95.39999999995922,-72.61701254125293,-72.61630346663651
238.86358974128655,0.06,2.0,0.5,4.0,1.0,0,-72.17966839393658,-72.63531491061421,-72.63418461960315,8.778421954527767,25.99012546673892,-70.96227825425795,-70.96099479210702,-72.95649240589226,-72.95546340061843,3,3,84.4249999999692,-73.11302382477612,-73.11751922662263
238.86318027320772,0.06,1.25,1.0,2.0,2.0,0,-72.21629648125824,-72.64343058154425,-72.64272761528872,0.05836951639743909,12.926768267250576,-71.58116279597449,-71.5866295899479,-72.62301368274322,-72.62230363937883,3,3,97.29999999995749,-73.09808351270787,-73.10484558976718
238.85033293368306,0.06,1.5,1.0,4.0,0.5,0,-72.30322183963312,-72.66509250641579,-72.6642530152663,3.303102537854716,17.962582696311607,-52.53338117326558,-51.75020574394478,-72.56243520080204,-72.56157057645898,4,4,93.7749999999607,-72.62411391225938,-72.62326419549133
238.82608001319733,0.06,1.25,0.25,0.5,1.0,0,-72.28014282722796,-72.65980207795988,-72.659101914266,0.9030831690158481,13.731604100928415,-46.18992500069866,-45.28904934821118,-73.03646518830105,-73.03583886777581,4,4,95.39999999995922,-72.6170034920316,-72.61629441566443
238.7618012646783,0.06,1.25,0.75,0.0,2.0,0,-72.21021060965278,-72.6421500147809,-72.64144671818346,0.432818277149212,13.309830165286211,-48.25454069060191,-47.45802340047968,-73.02447440461309,-73.0238482400469,4,4,96.12499999995856,-72.59377299104153,-72.59305959248208
238.71543184915097,0.06,1.5,1.0,2.0,0.5,0,-72.30311468867684,-72.66506524167342,-72.6642257442654,3.3030241432972853,17.963022291637678,-52.68021896283099,-51.89804781294486,-72.49505282039193,-72.49417113256094,4,4,93.7749999999607,-72.6240778712016,-72.62322814593179
238.6474093547576,0.06,1.5,1.0,1.0,0.5,0,-72.30306111274382,-72.66505160928315,-72.66421210874583,3.302972728738116,17.96322704106142,-52.754132097518564,-51.97247565264565,-72.4610756541709,-72.4601852922001,4,4,93.7749999999607,-72.62405985063916,-72.62321012111843
238.64304824023145,0.06,1.5,0.75,1.0,1.0,0,-72.25689323925785,-72.65374077724665,-72.65289858537022,3.6392073136241745,18.31277768376148,-50.784631227726656,-49.9761956628308,-73.11282782300091,-73.11209243825687,4,4,92.32499999996202,-72.6091340154316,-72.60828066786189
238.6132128444956,0.06,1.5,1.0,0.5,0.5,0,-72.30303432466373,-72.66504479308327,-72.66420529098131,3.3029431494423864,17.963323136583604,-52.7911866069925,-52.00978231217565,-72.44399443953962,-72.44309969916125,4,4,93.7749999999607,-72.62405084034955,-72.62320110870336
238.57893519622345,0.06,1.5,1.0,0.0,0.5,0,-72.30300753650762,-72.66503797687997,-72.66419847321336,3.3029101171126842,17.9634139785306,-52.82833023954682,-52.047182488056485,-72.42687265591178,-72.42597351483803,4,4,93.7749999999607,-72.62404183005413,-72.62319209628245
238.55093863205167,0.06,1.5,1.25,2.0,2.0,0,-72.18664168725957,-72.63608051807748,-72.63523443229,3.291973168951811,18.019767188477445,-72.39219458245059,-72.39570253395362,-73.11473197916787,-73.11399443268556,3,3,92.77499999996161,-74.0151896884606,-74.02368026306442
