AIS_AP_peak_mV,AIS_AP_width_ms,AIS_ISI_CV,AIS_RMP_mV,AIS_adaptation_ratio,AIS_first_ISI_ms,AIS_first_latency_ms,AIS_frequency_Hz,AIS_last_ISI_ms,AIS_mean_ISI_ms,AIS_spike_count,RIN_GOhm,RIN_deltaV_mV,current_nA,current_pA,max_AIS_mV,max_soma_mV,plateau_AIS_mV,plateau_soma_mV,recovery_AIS_mV,recovery_soma_mV,soma_AP_peak_mV,soma_AP_width_ms,soma_RMP_mV,soma_first_latency_ms,soma_frequency_Hz,soma_spike_count
nan,nan,nan,-72.64024778844416,nan,nan,nan,0.0,nan,nan,0,0.7561874301039196,-7.561874301039197,-0.01,-10,-72.59154518942138,-72.5923738711673,-80.20279876246234,-80.20293896972842,-75.34342560085284,-75.34379452705451,nan,nan,-72.64106466868922,nan,0.0,0
nan,nan,nan,-72.64024778844416,nan,nan,nan,0.0,nan,nan,0,nan,nan,0.0,0,-72.20647749696032,-72.20740254991367,-72.21466743494496,-72.215590379342,-72.16005542155912,-72.16099247678349,nan,nan,-72.64106466868922,nan,0.0,0
nan,nan,nan,-72.64024778844416,nan,nan,nan,0.0,nan,nan,0,nan,nan,0.02,20,-53.913353212710824,-54.01905566064279,-56.92495362712067,-56.975179612704295,-65.89915583528308,-65.90448844026022,nan,nan,-72.64106466868922,nan,0.0,0
13.788781356490256,1.5749999999985675,nan,-72.64024778844416,nan,177.74999999983834,144.59999999991447,4.0,177.74999999983834,177.74999999983834,2,nan,nan,0.04,40,13.969539521212296,0.8170681625594489,-55.50822236255521,-55.62016145338183,-72.80321412718888,-72.80399213209563,0.6862937366657531,1.862499999998306,-72.64106466868922,144.84999999991425,4.0,2
16.67718085164597,1.562500000000341,0.0048324384432474315,-72.64024778844416,1.0115354017523572,125.69999999988568,92.07499999996224,8.0,127.15000000015567,126.53333333330869,4,nan,nan,0.06,60,17.65255713385194,3.313438830830844,-49.603899008398095,-50.436152018610294,-72.34001348375425,-72.34090433375516,2.6239972115817674,1.918750000000415,-72.64106466868922,92.29999999996204,8.0,4
18.098853599894625,1.5549999999999955,0.002139528145957296,-72.64024778844416,1.0054280779697369,101.32499999990785,67.74999999998437,10.0,101.87500000019094,101.65624999997844,5,nan,nan,0.08,80,20.159855081733706,5.004657666680622,-49.12764660980947,-49.95191930521626,-72.44873924577607,-72.44960290543321,3.5622787108001335,1.9099999999999682,-72.64106466868922,67.97499999998416,10.0,5
18.677306086504363,1.5333333333330945,0.0018096263793981977,-72.64024778844416,0.9965537047713107,87.04999999992083,53.54999999999728,12.0,86.7500000002637,86.75999999998962,6,nan,nan,0.1,100,22.014692226952995,6.270051024407038,-49.31646513462928,-50.1517006013704,-73.11930302099218,-73.12001208332174,3.9378032961723135,1.8958333333330302,-72.64106466868922,53.77499999999708,12.0,6
18.883152256094558,1.5291666666664316,0.0047874401469638825,-72.64024778844416,0.9880683650444839,77.52499999992949,44.25000000000574,12.0,76.60000000000394,76.78999999994488,6,nan,nan,0.12,120,23.440836326765158,7.257689834049053,-62.27108537232152,-62.29412714421864,-72.90390130588686,-72.90465598919758,4.067453482440762,1.874999999999697,-72.64106466868922,44.45000000000556,12.0,6
