current_na,time_ms,soma_mv,proximal_axon_mv,proximal_dendrite_mv
-0.02,0.0,-60.0,-60.0,-60.0
-0.02,0.09999999999999999,-59.99630468349953,-59.98751452268714,-59.99684705614887
-0.02,0.20000000000000004,-59.99527481379073,-59.98635820728492,-59.99584662079183
-0.02,0.3000000000000001,-59.994965866837994,-59.98605071315041,-59.995538977692554
-0.02,0.4000000000000002,-59.99496945079944,-59.98608261180035,-59.99553563243942
-0.02,0.5000000000000002,-59.99513742573303,-59.98628725864449,-59.99569447719928
-0.02,0.5999999999999999,-59.99540000485658,-59.98658828081283,-59.995948106833495
-0.02,0.6999999999999995,-59.99572040177103,-59.986946152048574,-59.99626057907458
-0.02,0.7999999999999992,-59.99607784153543,-59.98733893376908,-59.996611305590044
-0.02,0.8999999999999988,-59.996459903615005,-59.98775376216926,-59.996987792893805
-0.02,0.9999999999999984,-59.99685876099521,-59.9881827124902,-59.997382057030215
-0.02,1.099999999999998,-59.99726923466092,-59.988620674997094,-59.99778875114279
-0.02,1.1999999999999977,-59.997687744200725,-59.989064216554205,-59.99820414332233
-0.02,1.2999999999999974,-59.99811171871667,-59.989510945979546,-59.9986255350937
-0.02,1.399999999999997,-59.99853925254016,-59.98995914618578,-59.999050916833546
-0.02,1.4999999999999967,-59.998968895710796,-59.99040755251423,-59.99947875522816
-0.02,1.5999999999999963,-59.99939952132614,-59.99085521401657,-59.99990785703075
-0.02,1.699999999999996,-59.99983023836956,-59.991301403499776,-60.00033727854895
-0.02,1.7999999999999956,-60.000260332444036,-59.99174555727027,-60.00076626354574
-0.02,1.8999999999999952,-60.000689224245626,-59.992187233594805,-60.001194199411344
-0.02,1.999999999999995,-60.00111643969317,-59.9926260833388,-60.00162058546368
-0.02,2.099999999999996,-60.00154158795069,-59.9930618287601,-60.00204500953323
-0.02,2.1999999999999975,-60.00196434493839,-59.993494247906014,-60.00246713035073
-0.02,2.299999999999999,-60.00238444075036,-59.99392316294668,-60.00288666408904
-0.02,2.4000000000000004,-60.00280164990955,-59.99434843132787,-60.00330337393558
-0.02,2.5000000000000018,-60.003215783719966,-59.994769938976766,-60.003717061912006
-0.02,2.600000000000003,-60.00362668419258,-59.995187595024525,-60.004127562384134
-0.02,2.7000000000000046,-60.004034219168645,-59.99560132766395,-60.004534736859306
-0.02,2.800000000000006,-60.00443827836486,-59.99601108086609,-60.004938469775695
-0.02,2.9000000000000075,-60.0048387701364,-59.996416811753754,-60.00533866506368
-0.02,3.000000000000009,-60.005235618804726,-59.996818488482106,-60.00573524331418
-0.02,3.1000000000000103,-60.00562876243375,-59.997216088514264,-60.00612813942838
-0.02,3.2000000000000117,-60.0060181509657,-59.99760959720724,-60.006517300652675
-0.02,3.300000000000013,-60.00640374464747,-59.99799900664354,-60.00690268492434
-0.02,3.4000000000000146,-60.006785512694044,-59.998384314659084,-60.00728425946999
-0.02,3.500000000000016,-60.007163432146505,-59.998765524028784,-60.00766199961112
-0.02,3.6000000000000174,-60.00753748689125,-59.999142641780075,-60.00803588774064
-0.02,3.700000000000019,-60.00790766681351,-59.999515678610855,-60.00840591244159
