time_ms soma_mV ais_mV
229.100000 -70.158662 -70.162145
229.125000 -70.155364 -70.158832
229.150000 -70.152060 -70.155513
229.175000 -70.148748 -70.152187
229.200000 -70.145431 -70.148855
229.225000 -70.142107 -70.145517
229.250000 -70.138776 -70.142172
229.275000 -70.135439 -70.138820
229.300000 -70.132096 -70.135462
229.325000 -70.128746 -70.132098
229.350000 -70.125390 -70.128728
229.375000 -70.122028 -70.125351
229.400000 -70.118659 -70.121968
229.425000 -70.115284 -70.118579
229.450000 -70.111903 -70.115184
229.475000 -70.108516 -70.111783
229.500000 -70.105122 -70.108375
229.525000 -70.101723 -70.104961
229.550000 -70.098317 -70.101542
229.575000 -70.094905 -70.098116
229.600000 -70.091487 -70.094684
229.625000 -70.088063 -70.091246
229.650000 -70.084633 -70.087802
229.675000 -70.081197 -70.084352
229.700000 -70.077755 -70.080897
229.725000 -70.074307 -70.077435
229.750000 -70.070853 -70.073967
229.775000 -70.067393 -70.070494
229.800000 -70.063927 -70.067015
229.825000 -70.060456 -70.063529
229.850000 -70.056978 -70.060039
229.875000 -70.053495 -70.056542
229.900000 -70.050006 -70.053039
229.925000 -70.046511 -70.049531
229.950000 -70.043011 -70.046017
229.975000 -70.039505 -70.042498
230.000000 -70.035993 -70.038973
230.025000 -70.032475 -70.035442
230.050000 -70.028952 -70.031906
230.075000 -70.025423 -70.028364
230.100000 -70.021888 -70.024816
230.125000 -70.018348 -70.021263
230.150000 -70.014803 -70.017704
230.175000 -70.011252 -70.014140
230.200000 -70.007695 -70.010571
230.225000 -70.004133 -70.006996
230.250000 -70.000565 -70.003415
230.275000 -69.996992 -69.999829
230.300000 -69.993414 -69.996238
230.325000 -69.989830 -69.992641
230.350000 -69.986241 -69.989039
230.375000 -69.982646 -69.985432
230.400000 -69.979046 -69.981819
230.425000 -69.975441 -69.978201
230.450000 -69.971830 -69.974578
230.475000 -69.968214 -69.970950
230.500000 -69.964593 -69.967316
230.525000 -69.960967 -69.963677
230.550000 -69.957336 -69.960033
230.575000 -69.953699 -69.956384
230.600000 -69.950057 -69.952730
230.625000 -69.946410 -69.949070
230.650000 -69.942758 -69.945406
230.675000 -69.939100 -69.941736
230.700000 -69.935438 -69.938061
230.725000 -69.931771 -69.934382
230.750000 -69.928098 -69.930697
230.775000 -69.924421 -69.927007
230.800000 -69.920738 -69.923313
230.825000 -69.917051 -69.919613
230.850000 -69.913358 -69.915909
230.875000 -69.909661 -69.912199
230.900000 -69.905959 -69.908485
230.925000 -69.902252 -69.904766
230.950000 -69.898540 -69.901042
230.975000 -69.894823 -69.897313
231.000000 -69.891101 -69.893579
231.025000 -69.887374 -69.889840
231.050000 -69.883643 -69.886097
231.075000 -69.879907 -69.882349
231.100000 -69.876166 -69.878597
231.125000 -69.872420 -69.874839
231.150000 -69.868670 -69.871077
231.175000 -69.864915 -69.867310
231.200000 -69.861155 -69.863539
231.225000 -69.857390 -69.859763
231.250000 -69.853621 -69.855982
231.275000 -69.849848 -69.852197
231.300000 -69.846069 -69.848407
231.325000 -69.842286 -69.844612
231.350000 -69.838499 -69.840813
231.375000 -69.834707 -69.837010
231.400000 -69.830910 -69.833202
231.425000 -69.827109 -69.829389
231.450000 -69.823304 -69.825572
231.475000 -69.819494 -69.821751
231.500000 -69.815679 -69.817925
231.525000 -69.811860 -69.814095
231.550000 -69.808037 -69.810260
231.575000 -69.804209 -69.806421
231.600000 -69.800377 -69.802578
231.625000 -69.796540 -69.798730
231.650000 -69.792699 -69.794878
231.675000 -69.788854 -69.791022
231.700000 -69.785004 -69.787161
231.725000 -69.781150 -69.783296
231.750000 -69.777292 -69.779427
231.775000 -69.773430 -69.775554
231.800000 -69.769563 -69.771676
231.825000 -69.765692 -69.767794
231.850000 -69.761817 -69.763908
231.875000 -69.757938 -69.760018
231.900000 -69.754055 -69.756124
231.925000 -69.750167 -69.752225
231.950000 -69.746275 -69.748323
231.975000 -69.742379 -69.744416
232.000000 -69.738479 -69.740506
232.025000 -69.734575 -69.736591
232.050000 -69.730667 -69.732672
232.075000 -69.726755 -69.728749
232.100000 -69.722838 -69.724822
232.125000 -69.718918 -69.720891
232.150000 -69.714994 -69.716956
232.175000 -69.711065 -69.713017
232.200000 -69.707133 -69.709075
232.225000 -69.703197 -69.705128
232.250000 -69.699257 -69.701177
232.275000 -69.695312 -69.697223
232.300000 -69.691364 -69.693264
232.325000 -69.687412 -69.689302
232.350000 -69.683457 -69.685336
232.375000 -69.679497 -69.681366
232.400000 -69.675533 -69.677392
232.425000 -69.671566 -69.673414
232.450000 -69.667595 -69.669433
232.475000 -69.663620 -69.665448
232.500000 -69.659641 -69.661459
232.525000 -69.655658 -69.657466
232.550000 -69.651672 -69.653469
232.575000 -69.647682 -69.649469
232.600000 -69.643688 -69.645465
232.625000 -69.639691 -69.641458
232.650000 -69.635690 -69.637447
232.675000 -69.631685 -69.633432
232.700000 -69.627676 -69.629413
232.725000 -69.623664 -69.625391
232.750000 -69.619648 -69.621365
232.775000 -69.615629 -69.617336
232.800000 -69.611606 -69.613303
232.825000 -69.607579 -69.609266
232.850000 -69.603549 -69.605226
232.875000 -69.599515 -69.601183
232.900000 -69.595478 -69.597135
232.925000 -69.591437 -69.593085
232.950000 -69.587392 -69.589031
232.975000 -69.583344 -69.584973
233.000000 -69.579293 -69.580912
233.025000 -69.575238 -69.576847
233.050000 -69.571180 -69.572779
233.075000 -69.567118 -69.568708
233.100000 -69.563053 -69.564633
233.125000 -69.558984 -69.560555
233.150000 -69.554912 -69.556473
233.175000 -69.550837 -69.552388
233.200000 -69.546758 -69.548300
233.225000 -69.542676 -69.544208
233.250000 -69.538590 -69.540113
233.275000 -69.534501 -69.536015
233.300000 -69.530409 -69.531913
233.325000 -69.526314 -69.527808
233.350000 -69.522215 -69.523700
233.375000 -69.518113 -69.519589
233.400000 -69.514007 -69.515474
233.425000 -69.509899 -69.511356
233.450000 -69.505787 -69.507235
233.475000 -69.501672 -69.503111
233.500000 -69.497553 -69.498983
233.525000 -69.493432 -69.494852
233.550000 -69.489307 -69.490718
233.575000 -69.485179 -69.486581
233.600000 -69.481048 -69.482441
233.625000 -69.476914 -69.478298
233.650000 -69.472777 -69.474151
233.675000 -69.468636 -69.470002
233.700000 -69.464493 -69.465849
233.725000 -69.460346 -69.461693
233.750000 -69.456196 -69.457535
233.775000 -69.452044 -69.453373
233.800000 -69.447888 -69.449208
233.825000 -69.443729 -69.445040
233.850000 -69.439567 -69.440869
233.875000 -69.435402 -69.436695
233.900000 -69.431234 -69.432518
233.925000 -69.427063 -69.428338
233.950000 -69.422889 -69.424155
233.975000 -69.418712 -69.419969
234.000000 -69.414532 -69.415781
234.025000 -69.410349 -69.411589
234.050000 -69.406163 -69.407394
234.075000 -69.401974 -69.403197
234.100000 -69.397782 -69.398996
234.125000 -69.393588 -69.394793
234.150000 -69.389390 -69.390587
234.175000 -69.385190 -69.386378
234.200000 -69.380987 -69.382166
234.225000 -69.376781 -69.377951
234.250000 -69.372572 -69.373733
234.275000 -69.368360 -69.369513
234.300000 -69.364145 -69.365290
234.325000 -69.359928 -69.361064
234.350000 -69.355708 -69.356835
234.375000 -69.351485 -69.352603
234.400000 -69.347259 -69.348369
234.425000 -69.343031 -69.344132
234.450000 -69.338799 -69.339892
234.475000 -69.334565 -69.335650
234.500000 -69.330328 -69.331404
234.525000 -69.326089 -69.327157
234.550000 -69.321847 -69.322906
234.575000 -69.317602 -69.318653
234.600000 -69.313354 -69.314397
234.625000 -69.309104 -69.310138
234.650000 -69.304851 -69.305877
234.675000 -69.300596 -69.301613
234.700000 -69.296337 -69.297346
234.725000 -69.292077 -69.293077
234.750000 -69.287813 -69.288805
234.775000 -69.283547 -69.284531
234.800000 -69.279278 -69.280254
234.825000 -69.275007 -69.275975
234.850000 -69.270733 -69.271693
234.875000 -69.266457 -69.267408
234.900000 -69.262178 -69.263121
234.925000 -69.257897 -69.258831
234.950000 -69.253612 -69.254539
234.975000 -69.249326 -69.250244
235.000000 -69.245037 -69.245947
235.025000 -69.240745 -69.241648
235.050000 -69.236451 -69.237345
235.075000 -69.232155 -69.233041
235.100000 -69.227856 -69.228734
235.125000 -69.223554 -69.224424
235.150000 -69.219250 -69.220112
235.175000 -69.214944 -69.215798
235.200000 -69.210635 -69.211481
235.225000 -69.206324 -69.207162
235.250000 -69.202010 -69.202840
235.275000 -69.197694 -69.198516
235.300000 -69.193375 -69.194190
235.325000 -69.189055 -69.189861
235.350000 -69.184731 -69.185530
235.375000 -69.180406 -69.181196
235.400000 -69.176078 -69.176860
235.425000 -69.171748 -69.172522
235.450000 -69.167415 -69.168182
235.475000 -69.163080 -69.163839
235.500000 -69.158743 -69.159494
235.525000 -69.154403 -69.155147
235.550000 -69.150061 -69.150797
235.575000 -69.145717 -69.146445
235.600000 -69.141371 -69.142091
235.625000 -69.137022 -69.137735
235.650000 -69.132671 -69.133376
235.675000 -69.128318 -69.129015
235.700000 -69.123963 -69.124652
235.725000 -69.119605 -69.120287
235.750000 -69.115245 -69.115919
235.775000 -69.110883 -69.111549
235.800000 -69.106519 -69.107177
235.825000 -69.102152 -69.102803
235.850000 -69.097783 -69.098427
235.875000 -69.093412 -69.094048
235.900000 -69.089039 -69.089668
