trace_file,current_pA,soma_spike_count,ais_spike_count,firing_frequency_Hz,baseline_soma_mV,recovery_soma_mV,first_spike_latency_ms,mean_ISI_ms,adaptation_ratio_lastISI_firstISI,mean_soma_threshold_mV,mean_soma_peak_mV,mean_soma_AP_amplitude_mV,mean_soma_half_width_ms,mean_soma_base_width_minus20_ms,mean_soma_AHP_mV,mean_approx_ADP_from_AHP_mV
best_I_-10pA.dat,-10,0,0,0.0,-72.68713071500001,-76.30481060769615,,,,,,,,,,
best_I_0pA.dat,0,0,0,0.0,-72.68713071500001,-72.1706794127936,,,,,,,,,,
best_I_20pA.dat,20,0,0,0.0,-72.68713071500001,-64.36497590354823,,,,,,,,,,
best_I_40pA.dat,40,2,2,4.0,-72.68713071500001,-73.01788989055473,144.85,177.775,1.0,-40.349576,0.6862935,41.035869500000004,3.5108855526262204,3.5413317327080165,-71.2219385,1.0085209999999947
best_I_60pA.dat,60,4,4,8.0,-72.68713071500001,-72.40235057221389,92.30000000000001,126.53333333333332,1.0113365155131266,-40.99565375,2.6239972499999995,43.619651000000005,3.5361984546248237,3.6789646050848646,-70.6000985,1.269471750000001
best_I_80pA.dat,80,5,5,10.0,-72.68713071500001,-72.5358947856072,67.975,101.6625,1.0054267390231868,-41.348278,3.5622786,44.91055660000001,3.4947011846539398,3.6826998373310005,-69.95141000000001,1.9607519999999994
best_I_100pA.dat,100,6,6,12.0,-72.68713071500001,-73.39884095352325,53.775000000000006,86.76000000000002,0.9962665134979901,-41.423429000000006,3.937803166666667,45.36123216666667,3.4226140033764616,3.6299451634642423,-69.59518066666668,2.725719499999999
best_I_120pA.dat,120,6,6,12.0,-72.68713071500001,-73.13755000949524,44.44999999999999,76.80000000000001,0.9877537866580733,-41.47716416666667,4.0674535,45.544617666666674,3.3612632446086557,3.569940033682869,-68.10583033333333,4.132367666666664
